jp_name	cn_name	aliases	jp_profile_id	cn_profile_id	voice_archetype	cv_jp	gender	personality_tags	confidence	source_url	notes	jp_voice_name	jp_style	jp_pitch	jp_rate	cn_voice_name	cn_style	cn_pitch	cn_rate
シュヴァリエ・デオン	骑士迪昂	シュヴァリエデオン|シュヴァリエ|デオン	auto_dde1005b70_jp	auto_dde1005b70_cn	male_calm	斎藤千和	unknown	calm,analytical,adult	atlas	https://api.atlasacademy.io/export/JP/nice_servant_lore.json	atlas metadata; auto voice draft; tune in term_builder/character_voice_overrides.tsv; atlas class=saber	ja-JP-NaokiNeural		-2%	0.95	zh-CN-YunxiNeural	serious	-6%	0.95
エミヤ	卫宫		auto_bc03e7095c_jp	auto_bc03e7095c_cn	male_gruff	諏訪部順一	male	rough,proud,heavy	atlas	https://api.atlasacademy.io/export/JP/nice_servant_lore.json	atlas metadata; auto voice draft; tune in term_builder/character_voice_overrides.tsv; atlas class=archer	ja-JP-DaichiNeural		-10%	0.93	zh-CN-YunyeNeural	disgruntled	-3%	0.94
ギルガメッシュ	吉尔伽美什		auto_0ab06217c0_jp	auto_0ab06217c0_cn	male_heroic	関智一	male	heroic,firm,strong	atlas	https://api.atlasacademy.io/export/JP/nice_servant_lore.json	atlas metadata; auto voice draft; tune in term_builder/character_voice_overrides.tsv; atlas class=archer	ja-JP-DaichiNeural		-6%	1.03	zh-CN-YunyeNeural	serious	-2%	1.01
ロビンフッド	罗宾汉		auto_8d5922de6d_jp	auto_8d5922de6d_cn	male_gruff	鳥海浩輔	male	rough,proud,heavy	atlas	https://api.atlasacademy.io/export/JP/nice_servant_lore.json	atlas metadata; auto voice draft; tune in term_builder/character_voice_overrides.tsv; atlas class=archer	ja-JP-DaichiNeural		-6%	0.97	zh-CN-YunyeNeural	disgruntled	-5%	0.95
アタランテ	阿塔兰忒		auto_afc03923c2_jp	auto_afc03923c2_cn	female_cool	早見沙織	female	cool,controlled,quiet	atlas	https://api.atlasacademy.io/export/JP/nice_servant_lore.json	atlas metadata; auto voice draft; tune in term_builder/character_voice_overrides.tsv; atlas class=archer	ja-JP-NanamiNeural		0%	0.98	zh-CN-XiaoxiaoNeural	calm	-2%	0.98
エウリュアレ	尤瑞艾莉		auto_44db04cfea_jp	auto_44db04cfea_cn	female_cool	浅川悠	female	cool,controlled,quiet	atlas	https://api.atlasacademy.io/export/JP/nice_servant_lore.json	atlas metadata; auto voice draft; tune in term_builder/character_voice_overrides.tsv; atlas class=archer	ja-JP-NanamiNeural		+1%	0.93	zh-CN-XiaoxiaoNeural	calm	+1%	0.95
アーラシュ	阿拉什		auto_adc6c75815_jp	auto_adc6c75815_cn	male_gruff	鶴岡聡	male	rough,proud,heavy	atlas	https://api.atlasacademy.io/export/JP/nice_servant_lore.json	atlas metadata; auto voice draft; tune in term_builder/character_voice_overrides.tsv; atlas class=archer	ja-JP-DaichiNeural		-10%	0.98	zh-CN-YunyeNeural	disgruntled	-6%	0.98
クー・フーリン	库·丘林	クーフーリン	auto_b7e46b7abf_jp	auto_b7e46b7abf_cn	male_heroic	神奈延年	male	heroic,firm,strong	atlas	https://api.atlasacademy.io/export/JP/nice_servant_lore.json	atlas metadata; auto voice draft; tune in term_builder/character_voice_overrides.tsv; atlas class=lancer	ja-JP-DaichiNeural		-3%	1.02	zh-CN-YunyeNeural	serious	-1%	1.01
エリザベート・バートリー	伊丽莎白·巴托里	エリザベートバートリー|エリザベート|バートリー|伊丽莎白|巴托里	auto_d62e092f94_jp	auto_d62e092f94_cn	female_noble	大久保瑠美	female	noble,formal,commanding	atlas	https://api.atlasacademy.io/export/JP/nice_servant_lore.json	atlas metadata; auto voice draft; tune in term_builder/character_voice_overrides.tsv; atlas class=lancer	ja-JP-AoiNeural		-3%	0.96	zh-CN-XiaoxiaoNeural	serious	+1%	0.94
武蔵坊弁慶	武藏坊弁庆		auto_70e4f2cdc1_jp	auto_70e4f2cdc1_cn	male_heroic	稲田徹	male	heroic,firm,strong	atlas	https://api.atlasacademy.io/export/JP/nice_servant_lore.json	atlas metadata; auto voice draft; tune in term_builder/character_voice_overrides.tsv; atlas class=lancer	ja-JP-DaichiNeural		-1%	1.01	zh-CN-YunyeNeural	serious	-7%	0.97
レオニダス一世	列奥尼达一世		auto_1b6aa1ce5a_jp	auto_1b6aa1ce5a_cn	male_heroic	三木眞一郎	male	heroic,firm,strong	atlas	https://api.atlasacademy.io/export/JP/nice_servant_lore.json	atlas metadata; auto voice draft; tune in term_builder/character_voice_overrides.tsv; atlas class=lancer	ja-JP-DaichiNeural		-1%	0.99	zh-CN-YunyeNeural	serious	-7%	0.98
ロムルス	罗穆路斯		auto_ea34239935_jp	auto_ea34239935_cn	male_heroic	置鮎龍太郎	male	heroic,firm,strong	atlas	https://api.atlasacademy.io/export/JP/nice_servant_lore.json	atlas metadata; auto voice draft; tune in term_builder/character_voice_overrides.tsv; atlas class=lancer	ja-JP-DaichiNeural		-4%	1.01	zh-CN-YunyeNeural	serious	-1%	0.98
メドゥーサ	美杜莎		auto_35e5910c4a_jp	auto_35e5910c4a_cn	female_noble	浅川悠	female	noble,formal,commanding	atlas	https://api.atlasacademy.io/export/JP/nice_servant_lore.json	atlas metadata; auto voice draft; tune in term_builder/character_voice_overrides.tsv; atlas class=rider	ja-JP-AoiNeural		+2%	0.97	zh-CN-XiaoxiaoNeural	serious	+1%	0.95
ゲオルギウス	乔尔乔斯		auto_fea188815e_jp	auto_fea188815e_cn	male_heroic	西前忠久	male	heroic,firm,strong	atlas	https://api.atlasacademy.io/export/JP/nice_servant_lore.json	atlas metadata; auto voice draft; tune in term_builder/character_voice_overrides.tsv; atlas class=rider	ja-JP-DaichiNeural		-6%	0.97	zh-CN-YunyeNeural	serious	-6%	0.98
エドワード・ティーチ	爱德华·蒂奇	エドワードティーチ|エドワード|ティーチ|爱德华	auto_0046e3a5b6_jp	auto_0046e3a5b6_cn	male_heroic	西前忠久	male	heroic,firm,strong	atlas	https://api.atlasacademy.io/export/JP/nice_servant_lore.json	atlas metadata; auto voice draft; tune in term_builder/character_voice_overrides.tsv; atlas class=rider	ja-JP-DaichiNeural		-7%	1.03	zh-CN-YunyeNeural	serious	-5%	0.98
ブーディカ	布狄卡		auto_3330e1487f_jp	auto_3330e1487f_cn	female_noble	斎藤千和	female	noble,formal,commanding	atlas	https://api.atlasacademy.io/export/JP/nice_servant_lore.json	atlas metadata; auto voice draft; tune in term_builder/character_voice_overrides.tsv; atlas class=rider	ja-JP-AoiNeural		+3%	0.96	zh-CN-XiaoxiaoNeural	serious	0%	0.99
牛若丸	牛若丸		auto_2ebd9f152a_jp	auto_2ebd9f152a_cn	female_noble	早見沙織	female	noble,formal,commanding	atlas	https://api.atlasacademy.io/export/JP/nice_servant_lore.json	atlas metadata; auto voice draft; tune in term_builder/character_voice_overrides.tsv; atlas class=rider	ja-JP-AoiNeural		+2%	0.96	zh-CN-XiaoxiaoNeural	serious	-3%	0.96
アレキサンダー	亚历山大		auto_0049528354_jp	auto_0049528354_cn	male_heroic	坂本真綾	male	heroic,firm,strong	atlas	https://api.atlasacademy.io/export/JP/nice_servant_lore.json	atlas metadata; auto voice draft; tune in term_builder/character_voice_overrides.tsv; atlas class=rider	ja-JP-DaichiNeural		-3%	0.98	zh-CN-YunyeNeural	serious	-2%	0.95
マリー・アントワネット	玛丽·安托瓦内特	マリーアントワネット|アントワネット|安托瓦内特	auto_03294f5b15_jp	auto_03294f5b15_cn	female_noble	種田梨沙	female	noble,formal,commanding	atlas	https://api.atlasacademy.io/export/JP/nice_servant_lore.json	atlas metadata; auto voice draft; tune in term_builder/character_voice_overrides.tsv; atlas class=rider	ja-JP-AoiNeural		+3%	0.95	zh-CN-XiaoxiaoNeural	serious	0%	0.98
マルタ	玛尔达		auto_42826e1936_jp	auto_42826e1936_cn	female_noble	早見沙織	female	noble,formal,commanding	atlas	https://api.atlasacademy.io/export/JP/nice_servant_lore.json	atlas metadata; auto voice draft; tune in term_builder/character_voice_overrides.tsv; atlas class=rider	ja-JP-AoiNeural		-2%	0.96	zh-CN-XiaoxiaoNeural	serious	0%	0.96
サンタマルタ	圣诞玛尔达		auto_203bb2dc53_jp	auto_203bb2dc53_cn	female_bright		female	bright,clever,energetic	auto		auto draft; tune in term_builder/character_voice_overrides.tsv	ja-JP-AoiNeural		0%	1.05	zh-CN-XiaoyiNeural	cheerful	0%	1.05
メディア	美狄亚		auto_4f48dbef74_jp	auto_4f48dbef74_cn	female_mystic	田中敦子	female	mystic,soft,measured	atlas	https://api.atlasacademy.io/export/JP/nice_servant_lore.json	atlas metadata; auto voice draft; tune in term_builder/character_voice_overrides.tsv; atlas class=caster	ja-JP-NanamiNeural		+1%	0.91	zh-CN-XiaoxiaoNeural	calm	-2%	0.92
ハンス・クリスチャン・アンデルセン	汉斯·克里斯蒂安·安徒生	ハンスクリスチャンアンデルセン|ハンス|クリスチャン|アンデルセン|克里斯蒂安|安徒生	auto_9fcd9e640e_jp	auto_9fcd9e640e_cn	male_calm	子安武人	male	calm,analytical,adult	atlas	https://api.atlasacademy.io/export/JP/nice_servant_lore.json	atlas metadata; auto voice draft; tune in term_builder/character_voice_overrides.tsv; atlas class=caster	ja-JP-NaokiNeural		-1%	0.97	zh-CN-YunxiNeural	serious	-6%	0.92
ウィリアム・シェイクスピア	威廉·莎士比亚	ウィリアムシェイクスピア|シェイクスピア|莎士比亚	auto_cf8c65ccd6_jp	auto_cf8c65ccd6_cn	male_calm	稲田徹	male	calm,analytical,adult	atlas	https://api.atlasacademy.io/export/JP/nice_servant_lore.json	atlas metadata; auto voice draft; tune in term_builder/character_voice_overrides.tsv; atlas class=caster	ja-JP-NaokiNeural		-2%	0.91	zh-CN-YunxiNeural	serious	-5%	0.93
メフィストフェレス	梅菲斯托费勒斯		auto_a4b4f6f061_jp	auto_a4b4f6f061_cn	male_calm	子安武人	male	calm,analytical,adult	atlas	https://api.atlasacademy.io/export/JP/nice_servant_lore.json	atlas metadata; auto voice draft; tune in term_builder/character_voice_overrides.tsv; atlas class=caster	ja-JP-NaokiNeural		-4%	0.93	zh-CN-YunxiNeural	serious	-1%	0.96
ヴォルフガング・アマデウス・モーツァルト	沃尔夫冈·阿马德乌斯·莫扎特	ヴォルフガングアマデウスモーツァルト|ヴォルフガング|アマデウス|モーツァルト|沃尔夫冈|阿马德乌斯|莫扎特	auto_79c0f103a3_jp	auto_79c0f103a3_cn	male_calm	関智一	male	calm,analytical,adult	atlas	https://api.atlasacademy.io/export/JP/nice_servant_lore.json	atlas metadata; auto voice draft; tune in term_builder/character_voice_overrides.tsv; atlas class=caster	ja-JP-NaokiNeural		-6%	0.93	zh-CN-YunxiNeural	serious	-6%	0.96
諸葛孔明	诸葛孔明		auto_3c9ee6c747_jp	auto_3c9ee6c747_cn	male_calm	浪川大輔	male	calm,analytical,adult	atlas	https://api.atlasacademy.io/export/JP/nice_servant_lore.json	atlas metadata; auto voice draft; tune in term_builder/character_voice_overrides.tsv; atlas class=caster	ja-JP-NaokiNeural		-2%	0.94	zh-CN-YunxiNeural	serious	-3%	0.92
エルメロイⅡ世	埃尔梅罗Ⅱ世	エルメロイ1世|エルメロイ世	auto_869cdaf6d6_jp	auto_869cdaf6d6_cn	male_bright		male	bright,quick,confident	auto		auto draft; tune in term_builder/character_voice_overrides.tsv	ja-JP-NaokiNeural		+2%	1.02	zh-CN-YunxiNeural	cheerful	-3%	1.00
佐々木小次郎	佐佐木小次郎		auto_29ee071d98_jp	auto_29ee071d98_cn	male_calm	三木眞一郎	male	calm,analytical,adult	atlas	https://api.atlasacademy.io/export/JP/nice_servant_lore.json	atlas metadata; auto voice draft; tune in term_builder/character_voice_overrides.tsv; atlas class=assassin	ja-JP-NaokiNeural		-2%	0.95	zh-CN-YunxiNeural	serious	-3%	0.91
呪腕のハサン	咒腕哈桑		auto_3e10f79e87_jp	auto_3e10f79e87_cn	male_calm	稲田徹	male	calm,analytical,adult	atlas	https://api.atlasacademy.io/export/JP/nice_servant_lore.json	atlas metadata; auto voice draft; tune in term_builder/character_voice_overrides.tsv; atlas class=assassin	ja-JP-NaokiNeural		-6%	0.92	zh-CN-YunxiNeural	serious	-6%	0.95
ステンノ	斯忒诺		auto_16635e4a9e_jp	auto_16635e4a9e_cn	female_mystic	浅川悠	female	mystic,soft,measured	atlas	https://api.atlasacademy.io/export/JP/nice_servant_lore.json	atlas metadata; auto voice draft; tune in term_builder/character_voice_overrides.tsv; atlas class=assassin	ja-JP-NanamiNeural		-4%	0.91	zh-CN-XiaoxiaoNeural	calm	-1%	0.91
荊軻	荆轲		auto_06c07ee875_jp	auto_06c07ee875_cn	female_mystic	田中敦子	female	mystic,soft,measured	atlas	https://api.atlasacademy.io/export/JP/nice_servant_lore.json	atlas metadata; auto voice draft; tune in term_builder/character_voice_overrides.tsv; atlas class=assassin	ja-JP-NanamiNeural		-2%	0.93	zh-CN-XiaoxiaoNeural	calm	+1%	0.91
シャルル＝アンリ・サンソン	夏尔·亨利·桑松	シャルル=アンリ・サンソン|シャルル|アンリ|サンソン	auto_cc96be27f9_jp	auto_cc96be27f9_cn	male_calm	宮野真守	male	calm,analytical,adult	atlas	https://api.atlasacademy.io/export/JP/nice_servant_lore.json	atlas metadata; auto voice draft; tune in term_builder/character_voice_overrides.tsv; atlas class=assassin	ja-JP-NaokiNeural		-2%	0.97	zh-CN-YunxiNeural	serious	-3%	0.93
ファントム・オブ・ジ・オペラ	剧院魅影	ファントムオブジオペラ|ファントム|オペラ	auto_ba40243f3d_jp	auto_ba40243f3d_cn	male_calm	置鮎龍太郎	male	calm,analytical,adult	atlas	https://api.atlasacademy.io/export/JP/nice_servant_lore.json	atlas metadata; auto voice draft; tune in term_builder/character_voice_overrides.tsv; atlas class=assassin	ja-JP-NaokiNeural		-4%	0.94	zh-CN-YunxiNeural	serious	0%	0.97
マタ・ハリ	玛塔·哈丽	マタハリ	auto_3556ce7914_jp	auto_3556ce7914_cn	female_mystic	種田梨沙	female	mystic,soft,measured	atlas	https://api.atlasacademy.io/export/JP/nice_servant_lore.json	atlas metadata; auto voice draft; tune in term_builder/character_voice_overrides.tsv; atlas class=assassin	ja-JP-NanamiNeural		-4%	0.92	zh-CN-XiaoxiaoNeural	calm	-4%	0.95
カーミラ	卡米拉		auto_d3e8cb4615_jp	auto_d3e8cb4615_cn	female_mystic	田中敦子	female	mystic,soft,measured	atlas	https://api.atlasacademy.io/export/JP/nice_servant_lore.json	atlas metadata; auto voice draft; tune in term_builder/character_voice_overrides.tsv; atlas class=assassin	ja-JP-NanamiNeural		-1%	0.92	zh-CN-XiaoxiaoNeural	calm	-2%	0.94
ヘラクレス	赫拉克勒斯		auto_1b20d66d89_jp	auto_1b20d66d89_cn	male_gruff	西前忠久	male	rough,proud,heavy	atlas	https://api.atlasacademy.io/export/JP/nice_servant_lore.json	atlas metadata; auto voice draft; tune in term_builder/character_voice_overrides.tsv; atlas class=berserker	ja-JP-DaichiNeural		-10%	0.94	zh-CN-YunyeNeural	disgruntled	-5%	0.98
ランスロット	兰斯洛特		auto_19125e0620_jp	auto_19125e0620_cn	male_gruff	置鮎龍太郎	male	rough,proud,heavy	atlas	https://api.atlasacademy.io/export/JP/nice_servant_lore.json	atlas metadata; auto voice draft; tune in term_builder/character_voice_overrides.tsv; atlas class=berserker	ja-JP-DaichiNeural		-8%	0.98	zh-CN-YunyeNeural	disgruntled	-4%	0.92
呂布奉先	吕布奉先		auto_089013a31d_jp	auto_089013a31d_cn	male_gruff	安井邦彦	male	rough,proud,heavy	atlas	https://api.atlasacademy.io/export/JP/nice_servant_lore.json	atlas metadata; auto voice draft; tune in term_builder/character_voice_overrides.tsv; atlas class=berserker	ja-JP-DaichiNeural		-5%	0.93	zh-CN-YunyeNeural	disgruntled	-9%	0.92
スパルタクス	斯巴达克斯		auto_89d461e0bf_jp	auto_89d461e0bf_cn	male_gruff	鶴岡聡	male	rough,proud,heavy	atlas	https://api.atlasacademy.io/export/JP/nice_servant_lore.json	atlas metadata; auto voice draft; tune in term_builder/character_voice_overrides.tsv; atlas class=berserker	ja-JP-DaichiNeural		-5%	0.96	zh-CN-YunyeNeural	disgruntled	-5%	0.96
坂田金時	坂田金时		auto_0273066368_jp	auto_0273066368_cn	male_gruff	遊佐浩二	male	rough,proud,heavy	atlas	https://api.atlasacademy.io/export/JP/nice_servant_lore.json	atlas metadata; auto voice draft; tune in term_builder/character_voice_overrides.tsv; atlas class=berserker	ja-JP-DaichiNeural		-10%	0.98	zh-CN-YunyeNeural	disgruntled	-8%	0.96
ヴラド三世	弗拉德三世		auto_b491c5aee9_jp	auto_b491c5aee9_cn	male_gruff	置鮎龍太郎	male	rough,proud,heavy	atlas	https://api.atlasacademy.io/export/JP/nice_servant_lore.json	atlas metadata; auto voice draft; tune in term_builder/character_voice_overrides.tsv; atlas class=berserker	ja-JP-DaichiNeural		-9%	0.93	zh-CN-YunyeNeural	disgruntled	-8%	0.96
アステリオス	阿斯忒里俄斯		auto_3762fa4bb0_jp	auto_3762fa4bb0_cn	male_gruff	鳥海浩輔	male	rough,proud,heavy	atlas	https://api.atlasacademy.io/export/JP/nice_servant_lore.json	atlas metadata; auto voice draft; tune in term_builder/character_voice_overrides.tsv; atlas class=berserker	ja-JP-DaichiNeural		-5%	0.93	zh-CN-YunyeNeural	disgruntled	-6%	0.94
カリギュラ	卡利古拉		auto_a45c9e3584_jp	auto_a45c9e3584_cn	male_gruff	鶴岡聡	male	rough,proud,heavy	atlas	https://api.atlasacademy.io/export/JP/nice_servant_lore.json	atlas metadata; auto voice draft; tune in term_builder/character_voice_overrides.tsv; atlas class=berserker	ja-JP-DaichiNeural		-7%	0.92	zh-CN-YunyeNeural	disgruntled	-8%	0.92
ダレイオス三世	大流士三世		auto_426863fe7e_jp	auto_426863fe7e_cn	male_gruff	安井邦彦	male	rough,proud,heavy	atlas	https://api.atlasacademy.io/export/JP/nice_servant_lore.json	atlas metadata; auto voice draft; tune in term_builder/character_voice_overrides.tsv; atlas class=berserker	ja-JP-DaichiNeural		-5%	0.95	zh-CN-YunyeNeural	disgruntled	-6%	0.94
清姫	清姬		auto_f71ff7676f_jp	auto_f71ff7676f_cn	female_shadow	種田梨沙	female	dark,controlled,severe	atlas	https://api.atlasacademy.io/export/JP/nice_servant_lore.json	atlas metadata; auto voice draft; tune in term_builder/character_voice_overrides.tsv; atlas class=berserker	ja-JP-NanamiNeural		-5%	0.94	zh-CN-XiaoxiaoNeural	serious	-7%	0.92
エイリーク・ブラッドアクス	血斧埃里克	エイリークブラッドアクス|エイリーク|ブラッドアクス	auto_5e84119e66_jp	auto_5e84119e66_cn	male_gruff	安井邦彦	male	rough,proud,heavy	atlas	https://api.atlasacademy.io/export/JP/nice_servant_lore.json	atlas metadata; auto voice draft; tune in term_builder/character_voice_overrides.tsv; atlas class=berserker	ja-JP-DaichiNeural		-10%	0.97	zh-CN-YunyeNeural	disgruntled	-5%	0.97
タマモキャット	玉藻猫		auto_c6ca40504d_jp	auto_c6ca40504d_cn	female_shadow	斎藤千和	female	dark,controlled,severe	atlas	https://api.atlasacademy.io/export/JP/nice_servant_lore.json	atlas metadata; auto voice draft; tune in term_builder/character_voice_overrides.tsv; atlas class=berserker	ja-JP-NanamiNeural		-5%	0.90	zh-CN-XiaoxiaoNeural	serious	-4%	0.91
ジャンヌ・ダルク	贞德	ジャンヌダルク|ダルク	auto_17ca3e3e5c_jp	auto_17ca3e3e5c_cn	female_noble	坂本真綾	female	noble,formal,commanding	atlas	https://api.atlasacademy.io/export/JP/nice_servant_lore.json	atlas metadata; auto voice draft; tune in term_builder/character_voice_overrides.tsv; atlas class=ruler	ja-JP-AoiNeural		+3%	0.99	zh-CN-XiaoxiaoNeural	serious	-2%	0.99
オリオン	俄里翁		auto_354f261f81_jp	auto_354f261f81_cn	male_heroic	神奈延年＆沢城みゆき	male	heroic,firm,strong	atlas	https://api.atlasacademy.io/export/JP/nice_servant_lore.json	atlas metadata; auto voice draft; tune in term_builder/character_voice_overrides.tsv; atlas class=archer	ja-JP-DaichiNeural		-1%	1.00	zh-CN-YunyeNeural	serious	-3%	1.01
玉藻の前	玉藻前		auto_5b142684fa_jp	auto_5b142684fa_cn	female_mystic	斎藤千和	female	mystic,soft,measured	atlas	https://api.atlasacademy.io/export/JP/nice_servant_lore.json	atlas metadata; auto voice draft; tune in term_builder/character_voice_overrides.tsv; atlas class=caster	ja-JP-NanamiNeural		-4%	0.94	zh-CN-XiaoxiaoNeural	calm	-4%	0.91
ダビデ	大卫		auto_ad75ea283d_jp	auto_ad75ea283d_cn	male_gruff	中村悠一	male	rough,proud,heavy	atlas	https://api.atlasacademy.io/export/JP/nice_servant_lore.json	atlas metadata; auto voice draft; tune in term_builder/character_voice_overrides.tsv; atlas class=archer	ja-JP-DaichiNeural		-5%	0.98	zh-CN-YunyeNeural	disgruntled	-5%	0.93
ヘクトール	赫克托耳		auto_f82814b359_jp	auto_f82814b359_cn	male_heroic	安井邦彦	male	heroic,firm,strong	atlas	https://api.atlasacademy.io/export/JP/nice_servant_lore.json	atlas metadata; auto voice draft; tune in term_builder/character_voice_overrides.tsv; atlas class=lancer	ja-JP-DaichiNeural		-7%	0.98	zh-CN-YunyeNeural	serious	-5%	0.98
フランシス・ドレイク	弗朗西斯·德雷克	フランシスドレイク|フランシス|ドレイク|弗朗西斯|德雷克	auto_5375882cfe_jp	auto_5375882cfe_cn	female_noble	高乃麗	female	noble,formal,commanding	atlas	https://api.atlasacademy.io/export/JP/nice_servant_lore.json	atlas metadata; auto voice draft; tune in term_builder/character_voice_overrides.tsv; atlas class=rider	ja-JP-AoiNeural		-2%	0.98	zh-CN-XiaoxiaoNeural	serious	+3%	0.99
アン・ボニー	安妮·伯妮	アンボニー|ボニー	auto_876eaa6f90_jp	auto_876eaa6f90_cn	female_cool	野中藍＆川澄綾子	female	cool,controlled,quiet	atlas	https://api.atlasacademy.io/export/JP/nice_servant_lore.json	atlas metadata; auto voice draft; tune in term_builder/character_voice_overrides.tsv; atlas class=archer	ja-JP-NanamiNeural		-4%	0.99	zh-CN-XiaoxiaoNeural	calm	+1%	0.96
メアリー・リード	玛莉·瑞德	メアリーリード|リード	auto_cdc3cb53f4_jp	auto_cdc3cb53f4_cn	female_mystic		female	mystic,soft,measured	auto		auto draft; tune in term_builder/character_voice_overrides.tsv	ja-JP-NanamiNeural		-4%	0.91	zh-CN-XiaoxiaoNeural	calm	0%	0.94
沖田総司	冲田总司		auto_9431b0ac85_jp	auto_9431b0ac85_cn	female_noble	悠木碧	female	noble,formal,commanding	atlas	https://api.atlasacademy.io/export/JP/nice_servant_lore.json	atlas metadata; auto voice draft; tune in term_builder/character_voice_overrides.tsv; atlas class=saber	ja-JP-AoiNeural		+1%	0.96	zh-CN-XiaoxiaoNeural	serious	-2%	1.00
織田信長	织田信长		auto_6eaf66c3d7_jp	auto_6eaf66c3d7_cn	female_cool	釘宮理恵	female	cool,controlled,quiet	atlas	https://api.atlasacademy.io/export/JP/nice_servant_lore.json	atlas metadata; auto voice draft; tune in term_builder/character_voice_overrides.tsv; atlas class=archer	ja-JP-NanamiNeural		-4%	0.94	zh-CN-XiaoxiaoNeural	calm	-4%	0.97
