raw_name_box	name_box	count
フェルグス	フェルグス	1058
ヨハンナ	ヨハンナ	1041
Ｓイシュタル	Ｓイシュタル	1039
ナイチンゲール	ナイチンゲール	1037
サンソン	サンソン	1033
殺生院キアラ	殺生院キアラ	1033
パールヴァティー	パールヴァティー	1025
ブリュンヒルデ	ブリュンヒルデ	1018
Ｘ	Ｘ	1008
ガネーシャ	ガネーシャ	1008
斎藤一	斎藤一	1008
ナーサリー・ライム	ナーサリー・ライム	1004
メカエリチャン	メカエリチャン	998
ニキチッチ	ニキチッチ	991
ジークフリート	ジークフリート	978
メルトリリス	メルトリリス	978
テペウ	テペウ	977
坂本龍馬	坂本龍馬	971
ブラダマンテ	ブラダマンテ	970
クロエ	クロエ	968
ブーディカ	ブーディカ	966
燕青	燕青	957
フローラ	フローラ	954
ケイローン	ケイローン	949
ビリー	ビリー	944
沖田オルタ	沖田オルタ	940
クレオパトラ	クレオパトラ	938
ベディヴィエール	ベディヴィエール	934
グレイ	グレイ	931
ドレイク	ドレイク	925
オジマンディアス	オジマンディアス	922
哪吒	哪吒	921
バーゲスト	バーゲスト	921
シェイクスピア	シェイクスピア	913
アストライア	アストライア	908
アタランテ・オルタ	アタランテ・オルタ	905
ドゥリーヨダナ	ドゥリーヨダナ	903
シャルルマーニュ	シャルルマーニュ	899
Ｕ－オルガマリー	Ｕ－オルガマリー	895
ジーク	ジーク	894
ガウェイン	ガウェイン	886
タマモキャット	タマモキャット	883
ヴリトラ	ヴリトラ	883
ヘクトール	ヘクトール	874
ジェロニモ	ジェロニモ	873
荊軻	荊軻	870
ビショーネ	ビショーネ	869
メタトロン・ジャンヌ	メタトロン・ジャンヌ	864
シトナイ	シトナイ	861
ノッブ	ノッブ	860
紅閻魔	紅閻魔	859
楊貴妃	楊貴妃	855
岡田以蔵	岡田以蔵	849
アルトリア・オルタ	アルトリア・オルタ	843
デオン	デオン	842
岸波白野	岸波白野	842
柳生但馬守	柳生但馬守	840
アルトリア・キャスター	アルトリア・キャスター	838
鬼一法眼	鬼一法眼	833
カエサル	カエサル	829
おみぃさん	おみぃさん	827
カズラドロップ	カズラドロップ	826
ボイジャー	ボイジャー	820
ケツァル・コアトル	ケツァル・コアトル	819
ＢＢコスモ	ＢＢコスモ	819
セミラミス	セミラミス	811
テスカトリポカ	テスカトリポカ	807
マタ・ハリ	マタ・ハリ	804
ラクシュミー	ラクシュミー	804
ジャンヌ・オルタ・サンタ・リリィ	ジャンヌ・オルタ・サンタ・リリィ	803
張角	張角	797
ジャガーマン	ジャガーマン	793
カレン	カレン	791
アルテラサンタ	アルテラサンタ	784
E：？？？	？？？	782
サンチョ	サンチョ	780
スーパーバニヤン	スーパーバニヤン	770
アシュヴァッターマン	アシュヴァッターマン	763
アヴィケブロン	アヴィケブロン	762
カーミラ	カーミラ	756
ミス・クレーン	ミス・クレーン	745
D：？？？	？？？	740
ベリル	ベリル	738
エミヤ・オルタ	エミヤ・オルタ	725
リリス	リリス	725
パツシィ	パツシィ	714
レディ・アヴァロン	レディ・アヴァロン	710
徴側	徴側	709
F：？？？	？？？	708
コロンブス	コロンブス	707
クー・フーリン・オルタ	クー・フーリン・オルタ	703
ヤマトタケル	ヤマトタケル	703
アーラシュ	アーラシュ	701
新宿のアーチャー	新宿のアーチャー	699
織田信勝	織田信勝	697
始皇帝	始皇帝	695
ノクナレア	ノクナレア	694
蒼崎青子	蒼崎青子	690
ディルムッド	ディルムッド	689
ドラコー	ドラコー	689
茶々	茶々	685
ビーマ	ビーマ	683
ゼノビア	ゼノビア	683
ベオウルフ	ベオウルフ	674
ニコラ・テスラ	ニコラ・テスラ	669
モルガン	モルガン	669
ラムダ	ラムダ	654
アルテミス	アルテミス	652
ランスロット	ランスロット	650
アーユス	アーユス	632
メディア	メディア	631
マカリオス	マカリオス	631
セタンタ	セタンタ	628
卑弥呼	卑弥呼	621
メディア・リリィ	メディア・リリィ	619
ジャック	ジャック	618
春日局	春日局	618
オフェリア	オフェリア	617
蘭陵王	蘭陵王	609
バーヴァン・シー	バーヴァン・シー	602
アンドロメダ	アンドロメダ	599
パラケルスス	パラケルスス	598
A：？？？	？？？	595
呪腕のハサン	呪腕のハサン	594
バゼット	バゼット	594
武田晴信	武田晴信	594
土方歳三	土方歳三	592
ククルカン	ククルカン	591
ネモ・マリーン	ネモ・マリーン	590
C：？？？	？？？	589
巌窟王	巌窟王	589
壱与	壱与	588
ジェーン	ジェーン	586
李書文	李書文	584
ロウヒ	ロウヒ	584
ティアマト	ティアマト	582
森長可	森長可	582
ジキル	ジキル	580
ジュネス	ジュネス	580
ワンジナ	ワンジナ	580
エウリュアレ	エウリュアレ	578
ヒッポリュテ	ヒッポリュテ	574
ＢＢドバイ	ＢＢドバイ	572
アマデウス	アマデウス	570
メフィストフェレス	メフィストフェレス	570
エレシュキガル・オルタ	エレシュキガル・オルタ	568
アス	アス	568
シバの女王	シバの女王	557
パリス	パリス	556
コンスタンティノス	コンスタンティノス	555
ガラテア	ガラテア	555
ドン・キホーテ	ドン・キホーテ	554
蘆屋道満	蘆屋道満	551
子ギル	子ギル	550
バベッジ	バベッジ	546
九紋竜エリザ	九紋竜エリザ	545
インドラ	インドラ	545
リンボ	リンボ	542
テュフォン・エフェメロス	テュフォン・エフェメロス	540
山南敬助	山南敬助	537
渡辺綱	渡辺綱	536
ラスプーチン	ラスプーチン	536
千利休	千利休	536
フランソワ	フランソワ	536
デメテル	デメテル	533
黒姫	黒姫	531
弁慶	弁慶	521
ネモ・プロフェッサー	ネモ・プロフェッサー	520
由井正雪	由井正雪	518
永倉新八	永倉新八	514
出雲阿国	出雲阿国	514
煉獄	煉獄	514
ロクスタ	ロクスタ	506
ダビデ	ダビデ	505
フラン	フラン	504
サンタマルタ	サンタマルタ	504
スルーズ	スルーズ	500
アルジュナ・オルタ	アルジュナ・オルタ	498
ゲオルギウス	ゲオルギウス	497
ダ・ヴィンチちゃん	ダ・ヴィンチちゃん	496
ラニ＝ⅩⅡ	ラニ＝ⅩⅡ	490
アン	アン	483
ソロモン	ソロモン	483
杉谷善住坊	杉谷善住坊	483
メアリー	メアリー	482
[51ffff]ダ・ヴィンチ[-]	ダ・ヴィンチ	479
イスカンダル	イスカンダル	477
サンタオルタ	サンタオルタ	476
胤舜	胤舜	475
花咲翁	花咲翁	474
アタランテ	アタランテ	473
静謐のハサン	静謐のハサン	472
サロメ	サロメ	472
B：？？？	？？？	468
望月千代女	望月千代女	464
河上彦斎	河上彦斎	464
アデーレ	アデーレ	459
両儀式	両儀式	451
リチャード	リチャード	449
ライダー	ライダー	448
ジナコ	ジナコ	445
殺生院リリィ	殺生院リリィ	445
徴弐	徴弐	441
平景清	平景清	440
百貌のハサン	百貌のハサン	438
ペンテシレイア	ペンテシレイア	436
神父	神父	432
ヒロインＸＸ	ヒロインＸＸ	432
新宿のアサシン	新宿のアサシン	428
蘭丸Ｘ	蘭丸Ｘ	428
久遠寺有珠	久遠寺有珠	428
サンタカルナ	サンタカルナ	422
ディオスクロイ・カストロ	ディオスクロイ・カストロ	421
大統領	大統領	420
ルビー	ルビー	419
黄飛虎	黄飛虎	414
槻司鳶丸	槻司鳶丸	414
ツタンカーメン	ツタンカーメン	410
曲亭馬琴	曲亭馬琴	410
裁判長	裁判長	408
スパルタクス	スパルタクス	404
[B86349]ヘファイストス[-]	ヘファイストス	404
アシュタレト	アシュタレト	404
アルテラ	アルテラ	403
ゴルゴーン	ゴルゴーン	403
賢人グリム	賢人グリム	403
アーサー	アーサー	403
近藤勇	近藤勇	403
伊東甲子太郎	伊東甲子太郎	403
デイビット	デイビット	400
俵藤太	俵藤太	397
メカエリチャンⅡ号機	メカエリチャンⅡ号機	397
テル	テル	393
秦良玉	秦良玉	392
オキタ・Ｊ・ソウジ	オキタ・Ｊ・ソウジ	388
なぎこ	なぎこ	388
ジル	ジル	386
ローラン	ローラン	386
ムリアン	ムリアン	385
G：？？？	？？？	384
藤堂平助	藤堂平助	382
A：アマゾネスＣＥＯ	アマゾネスＣＥＯ	382
エウロペ	エウロペ	381
小野小町	小野小町	380
美遊	美遊	380
Ⅱ号機	Ⅱ号機	377
ハサン	ハサン	376
H：？？？	？？？	375
ゼウス	ゼウス	374
キングプロテア	キングプロテア	373
テノチティトラン	テノチティトラン	370
B：アヴェンジャー	アヴェンジャー	368
原田左之助	原田左之助	364
妖精騎士ランスロット	妖精騎士ランスロット	362
お竜さん	お竜さん	362
マリー・オルタ	マリー・オルタ	359
ナイチンゲール・サンタ	ナイチンゲール・サンタ	358
マリー・アントワネット	マリー・アントワネット	355
静希草十郎	静希草十郎	355
オルトリンデ	オルトリンデ	352
マナナン	マナナン	351
お栄	お栄	350
アレキサンダー	アレキサンダー	349
イヴァン雷帝	イヴァン雷帝	349
フィン・マックール	フィン・マックール	349
キャスター	キャスター	347
カリギュラ	カリギュラ	346
レオニダス	レオニダス	346
トネリコ	トネリコ	344
巌窟王モンテ・クリスト	巌窟王モンテ・クリスト	342
ドゥムジ	ドゥムジ	335
アステリオス	アステリオス	334
バニヤン	バニヤン	334
カリオストロ	カリオストロ	333
項羽	項羽	331
ペペロン伯爵	ペペロン伯爵	331
言峰綺礼	言峰綺礼	331
ネモサンタ	ネモサンタ	328
イスカリ	イスカリ	326
丑御前	丑御前	326
赤兎	赤兎	325
ステンノ	ステンノ	324
ゲルダ	ゲルダ	324
オベロン・ヴォーティガーン	オベロン・ヴォーティガーン	324
沖田	沖田	323
男	男	320
ヒルド	ヒルド	317
ＸＸ・オルタ	ＸＸ・オルタ	317
謎の代行者C.I.E.L	謎の代行者C.I.E.L	317
クロード	クロード	317
ハサラ	ハサラ	314
アイリーン	アイリーン	310
小次郎	小次郎	310
ウッドワス	ウッドワス	309
アポロン	アポロン	308
カマソッソ	カマソッソ	307
お路	お路	305
フェイカー	フェイカー	305
アニング	アニング	303
妖精騎士ガウェイン	妖精騎士ガウェイン	301
二人	二人	299
勝海舟	勝海舟	299
紅玉の書	紅玉の書	298
ボガード	ボガード	297
テセウス	テセウス	297
アイリスフィール	アイリスフィール	296
プロフェッサーＭ	プロフェッサーＭ	296
フィン	フィン	294
ときこ	ときこ	292
モレーちゃん	モレーちゃん	291
セレシェイラ	セレシェイラ	289
ネロ・ブライド	ネロ・ブライド	288
蛇竜人	蛇竜人	288
桂木千鍵	桂木千鍵	281
マリスビリー	マリスビリー	279
藤原香子	藤原香子	279
キングプロテア・オルタ	キングプロテア・オルタ	279
ドゥルガー	ドゥルガー	279
芹沢鴨	芹沢鴨	277
サクラ	サクラ	276
土方	土方	276
アナ	アナ	275
オーロラ	オーロラ	272
石田三成	石田三成	272
ディオスクロイ・ポルクス	ディオスクロイ・ポルクス	270
龍馬	龍馬	269
隈乃院ヨシスケ	隈乃院ヨシスケ	269
シエル	シエル	266
シラノ	シラノ	266
蛍	蛍	263
エジソン・オルタ	エジソン・オルタ	261
飛竜	飛竜	261
松永弾正	松永弾正	261
魔王信長	魔王信長	258
家老マシュ	家老マシュ	258
カーター	カーター	257
スプリガン	スプリガン	256
キリエ	キリエ	253
ジョン	ジョン	253
ザッハーク	ザッハーク	252
ファントム	ファントム	250
アショカ王	アショカ王	250
藤乃	藤乃	250
クリストファー君	クリストファー君	250
水着ノッブ	水着ノッブ	249
織田吉法師	織田吉法師	242
ラヴィニア	ラヴィニア	239
マキリ	マキリ	237
節分大将	節分大将	237
全員	全員	235
ヤラアーンドゥ	ヤラアーンドゥ	235
アナウンス	アナウンス	234
信長	信長	234
館長	館長	234
デュマ	デュマ	234
セイバー	セイバー	233
陳宮	陳宮	233
ホプキンス	ホプキンス	232
おぬい	おぬい	230
バーサーカー・衆合地獄	バーサーカー・衆合地獄	229
ヘファイスティオン	ヘファイスティオン	229
イプシロン	イプシロン	228
ブリトマート	ブリトマート	227
フレッカス	フレッカス	225
ジュリエット	ジュリエット	221
ＤＯＭＡＮ	ＤＯＭＡＮ	218
終わりのエリザベート	終わりのエリザベート	216
妖精騎士トリスタン	妖精騎士トリスタン	215
メリュジーヌ	メリュジーヌ	215
B：アマゾネスＣＥＯ	アマゾネスＣＥＯ	215
恐竜王	恐竜王	214
髭黒	髭黒	213
ライノール	ライノール	212
レフ	レフ	211
マリス	マリス	210
ジル・ド・レェ	ジル・ド・レェ	208
ニトクリス・オルタ	ニトクリス・オルタ	208
アンソニー	アンソニー	208
I：？？？	？？？	207
アグラヴェイン	アグラヴェイン	206
トラロック	トラロック	205
上杉謙信	上杉謙信	199
クラス・セイバー	クラス・セイバー	196
レッドラ・ビット	レッドラ・ビット	195
黄幡神・蘆屋道満	黄幡神・蘆屋道満	193
以蔵	以蔵	193
神たるアルジュナ	神たるアルジュナ	192
邪竜	邪竜	192
足軽ノッブ	足軽ノッブ	192
芥ヒナコ	芥ヒナコ	191
クラス・アサシン	クラス・アサシン	191
ブラヴァツキー	ブラヴァツキー	190
乙姫清姫	乙姫清姫	190
キングゥ	キングゥ	188
声	声	188
イシュキック	イシュキック	188
服部武雄	服部武雄	187
アーシャ	アーシャ	185
リンド	リンド	184
日比乃ひびき	日比乃ひびき	184
エフェメロス	エフェメロス	184
ロムルス	ロムルス	181
獅子王	獅子王	181
クラス・ライダー	クラス・ライダー	181
駒姫	駒姫	181
ファンタズムーン	ファンタズムーン	181
コスモティック・ビューティ夫人	コスモティック・ビューティ夫人	181
暗黒武者ＭＵＮＥＮＯＲＩ	暗黒武者ＭＵＮＥＮＯＲＩ	180
サバージオス	サバージオス	179
ネモ・エンジン	ネモ・エンジン	178
キャスター・リンボ	キャスター・リンボ	177
わらし	わらし	177
アズライール	アズライール	176
太歳星君	太歳星君	175
海幸彦	海幸彦	175
クコチヒコ	クコチヒコ	174
アルトリア・ルーラー	アルトリア・ルーラー	171
メフィスト	メフィスト	171
ふーやーちゃん	ふーやーちゃん	171
黒の剣士	黒の剣士	171
吉田総帥	吉田総帥	170
マシュ《ナレーター》	マシュ《ナレーター》	169
ミカ	ミカ	169
水妃モルガン	水妃モルガン	168
ライダー・黒縄地獄	ライダー・黒縄地獄	167
伍	伍	167
武市瑞山	武市瑞山	167
アフロディーテ	アフロディーテ	164
木乃美芳助	木乃美芳助	164
偽ゲオルギウス	偽ゲオルギウス	164
アトランティス防衛兵	アトランティス防衛兵	163
ロムルス・クィリヌス	ロムルス・クィリヌス	163
エルロン	エルロン	162
ノア	ノア	162
キレーちゃん	キレーちゃん	162
フランチェスカ	フランチェスカ	162
ロマニ・アーキマン	ロマニ・アーキマン	160
少女	少女	160
海賊	海賊	158
キャプテン	キャプテン	158
ランサー	ランサー	158
天塚先輩	天塚先輩	158
ヤガ叛逆軍	ヤガ叛逆軍	157
ユニヴァース・アポロン	ユニヴァース・アポロン	157
アサシン・パライソ	アサシン・パライソ	156
アーキタイプ：アース	アーキタイプ：アース	156
ミス・ブーツライン	ミス・ブーツライン	156
名無しの亀	名無しの亀	154
少年	少年	153
ウルズ	ウルズ	153
ＢＢリリィ	ＢＢリリィ	153
源為朝	源為朝	152
ムネーモシュネー	ムネーモシュネー	152
ローマ	ローマ	152
アーチャー	アーチャー	151
姫子	姫子	150
松平信綱	松平信綱	150
レオン	レオン	150
ゲーティア	ゲーティア	148
阿曇磯良	阿曇磯良	148
魔術師	魔術師	147
神官ヴクブ	神官ヴクブ	147
アマゾネスＣＥＯ	アマゾネスＣＥＯ	147
エリス	エリス	145
アムール	アムール	144
アンキ・エレシュキガル	アンキ・エレシュキガル	141
イシュタル実況	イシュタル実況	141
アッド	アッド	141
フラット	フラット	141
黒獅子	黒獅子	140
アントニオ	アントニオ	139
雑賀孫一	雑賀孫一	137
ＡＡＡ	ＡＡＡ	137
教授	教授	136
地右衛門	地右衛門	136
祭祀長シドゥリ	祭祀長シドゥリ	135
杉谷	杉谷	135
ネモ・ナース	ネモ・ナース	134
ホーソーン	ホーソーン	133
エリザベート（ブレイブ）	エリザベート（ブレイブ）	132
ケツァルマスク	ケツァルマスク	132
プロメテウス＝ヘファイストス	プロメテウス＝ヘファイストス	131
清子	清子	131
カリオストロ・ヘッド	カリオストロ・ヘッド	131
アンリマユ	アンリマユ	131
秋葉ねろ	秋葉ねろ	131
村人	村人	130
藤原道長	藤原道長	129
兵士	兵士	127
老人	老人	127
エドモン・ダンテス	エドモン・ダンテス	127
高長恭	高長恭	127
語り部のキャスター	語り部のキャスター	127
ゴージャスＰ	ゴージャスＰ	127
造形王	造形王	127
ワクチャン	ワクチャン	126
セイバーオルタ	セイバーオルタ	126
リカルド	リカルド	124
謎のレーサーＸ	謎のレーサーＸ	124
ナウクラテー	ナウクラテー	123
D：アマゾネスＣＥＯ	アマゾネスＣＥＯ	123
マイケル	マイケル	123
シーボルト	シーボルト	123
グランマリー	グランマリー	122
スペース徐福	スペース徐福	121
護法少女	護法少女	121
猪八戒	猪八戒	120
[93CA76]空中の文字[-]	空中の文字	118
歳刑神・平景清	歳刑神・平景清	118
山の翁	山の翁	117
ジャンヌ・ダルク	ジャンヌ・ダルク	117
ロブ	ロブ	117
スペース・オデュッセウス	スペース・オデュッセウス	117
長老	長老	117
アーチャー・インフェルノ	アーチャー・インフェルノ	116
信勝	信勝	116
叔母	叔母	115
騎士	騎士	115
ブラック・ケツァルマスク	ブラック・ケツァルマスク	115
サン	サン	115
神王ラックランド	神王ラックランド	115
デメテル・エリニュス	デメテル・エリニュス	115
解明者	解明者	114
千代女	千代女	114
大黒天	大黒天	114
妖精たち	妖精たち	113
執筆中の作家	執筆中の作家	113
トトロット	トトロット	112
ダユー	ダユー	111
果心居士	果心居士	111
スマホさん	スマホさん	110
一同	一同	109
エルン	エルン	109
エレノア	エレノア	109
ランサー・プルガトリオ	ランサー・プルガトリオ	108
サンタアイランド仮面	サンタアイランド仮面	108
韓信	韓信	108
灰纏い	灰纏い	108
アーノルド	アーノルド	107
ソニックマッハ・ジェッター	ソニックマッハ・ジェッター	107
サファイア	サファイア	106
羅刹王・髑髏烏帽子蘆屋道満	羅刹王・髑髏烏帽子蘆屋道満	105
カーリー	カーリー	105
明智光秀	明智光秀	105
今川義元	今川義元	105
ラニ＝Ｒ	ラニ＝Ｒ	104
A：[servantName 503400:ミドラーシュのキャスター:シバの女王]	シバの女王	104
判事	判事	103
カルデアスタッフ	カルデアスタッフ	103
イルス	イルス	103
鬼王朱裸	鬼王朱裸	103
アラン	アラン	103
小野篁	小野篁	102
店主の妖精	店主の妖精	101
皇女	皇女	100
北の軍神	北の軍神	100
チビーネ	チビーネ	100
伯爵	伯爵	99
記録者	記録者	99
両儀さん	両儀さん	99
妖術師	妖術師	98
クラス・キャスター	クラス・キャスター	98
ケツァル・コアトル・サンバ・サンタ	ケツァル・コアトル・サンバ・サンタ	98
アオイ	アオイ	98
リリィ	リリィ	97
ロクジョウ	ロクジョウ	97
テオブローマン	テオブローマン	97
佐々木小次郎	佐々木小次郎	96
沙悟浄	沙悟浄	96
コーラル	コーラル	96
蛇女房	蛇女房	96
ウルク兵士	ウルク兵士	95
ゴールデン・ヒュージ・ベアー号	ゴールデン・ヒュージ・ベアー号	95
J：？？？	？？？	95
謎の富豪	謎の富豪	95
ギャラハッド	ギャラハッド	94
エリザベート（ハロウィン）	エリザベート（ハロウィン）	94
玉兎	玉兎	94
Ｈ・Ｃ・Ａ	Ｈ・Ｃ・Ａ	94
C：アマゾネスＣＥＯ	アマゾネスＣＥＯ	94
ロベール	ロベール	94
アサシン	アサシン	93
子供	子供	93
ネモ・ベーカリー	ネモ・ベーカリー	93
テノチティトラン・バニー	テノチティトラン・バニー	93
A：[servantName 503300:オケアノスのキャスター:キルケー]	キルケー	93
アーロン	アーロン	93
バーサーカー	バーサーカー	92
雀	雀	92
キャスターのマスター	キャスターのマスター	91
オシリスの塵	オシリスの塵	91
耀星のハサン	耀星のハサン	91
A：[servantName 602900:アサシン・パライソ:望月千代女]	望月千代女	91
タカスギ	タカスギ	91
サラザール	サラザール	91
オボロ	オボロ	91
三人	三人	90
アクアマリー	アクアマリー	90
ダークえっちゃん	ダークえっちゃん	90
L：？？？	？？？	89
円卓軍の兵士	円卓軍の兵士	89
水着獅子王	水着獅子王	89
大黒天１号	大黒天１号	89
S：？？？	？？？	88
C：メルセデス	メルセデス	88
シュシャ	シュシャ	88
H：ダ・ヴィンチ	ダ・ヴィンチ	87
スペース・エレシュキガル	スペース・エレシュキガル	87
白い礼服の少女	白い礼服の少女	86
うりぼう	うりぼう	86
デュボワ夫人	デュボワ夫人	86
おたま	おたま	85
シートン（？）	シートン（？）	84
B：[servantName 602900:アサシン・パライソ:望月千代女]	望月千代女	84
ドーヴ	ドーヴ	84
テオ	テオ	83
えっちゃん	えっちゃん	83
衛士長	衛士長	82
人工知能	人工知能	82
氷雪の女王	氷雪の女王	81
B：岸波白野	岸波白野	81
羊のお兄さん	羊のお兄さん	81
人斬り新兵衛	人斬り新兵衛	81
マーブル	マーブル	80
ガルシア	ガルシア	80
摩玖主大僧正	摩玖主大僧正	80
四奸六賊	四奸六賊	80
エイリーク	エイリーク	79
ヘラクレス	ヘラクレス	79
[D9FF69]ナビゲーター[-]	ナビゲーター	79
メイヴ監獄長	メイヴ監獄長	79
イシドロ	イシドロ	79
お虎	お虎	79
エウリュステウス	エウリュステウス	79
B：プトレマイオス=spot[B,G]	プトレマイオス	78
ＣＥＯ	ＣＥＯ	78
フランケンシュタイン	フランケンシュタイン	77
村長ヤガ	村長ヤガ	77
幼子	幼子	77
デビルカレン	デビルカレン	77
H：うりぼう	うりぼう	77
アシュタレト・オリジン	アシュタレト・オリジン	77
ダレイオス三世	ダレイオス三世	76
クラス・アーチャー	クラス・アーチャー	76
発明王エジソン	発明王エジソン	76
ＢＢ／ＧＯ	ＢＢ／ＧＯ	76
アルクェイド	アルクェイド	76
太公望（実況）	太公望（実況）	76
エクター	エクター	75
【怠惰】	【怠惰】	75
イアソンくん	イアソンくん	75
Ｍ	Ｍ	75
ヘシアン	ヘシアン	74
長刀の剣士	長刀の剣士	73
海賊Ｃ	海賊Ｃ	73
E：アマゾネスＣＥＯ	アマゾネスＣＥＯ	73
[51ffff]アナウンス[-]	アナウンス	72
クラス・ランサー	クラス・ランサー	72
ゴールデンＢＢ	ゴールデンＢＢ	72
A：[servantName 602600:新宿のアサシン:燕青]	燕青	72
太刀の男	太刀の男	71
ニンキガル	ニンキガル	71
ハロウィン騎士	ハロウィン騎士	71
ミゲル	ミゲル	71
スタッフ	スタッフ	70
トリストラム	トリストラム	70
C：岸波白野	岸波白野	70
四不相	四不相	70
ニキチッチ（偽）	ニキチッチ（偽）	70
[51d4ff]アナウンス[-]	アナウンス	69
女	女	69
エリザ・パヴォニス	エリザ・パヴォニス	69
絶対勝利のジークフリート	絶対勝利のジークフリート	69
ＤＸ	ＤＸ	68
セイバー・リリィ	セイバー・リリィ	68
C：大黒天	大黒天	68
車掌	車掌	68
ユウガオ	ユウガオ	68
ティーチ	ティーチ	67
クーちゃん	クーちゃん	67
摩玖主のキャスター	摩玖主のキャスター	67
海道覇皇『ウジザネ』	海道覇皇『ウジザネ』	67
F：ヴァジュラ	ヴァジュラ	67
F：うりぼう	うりぼう	66
ハリエット	ハリエット	66
呂布	呂布	65
A：シオン	シオン	65
母	母	65
妹	妹	65
魔性菩薩	魔性菩薩	65
ミスターＫ	ミスターＫ	65
C：アーキタイプ：アース	アーキタイプ：アース	65
ヘシアン・ロボ	ヘシアン・ロボ	64
プラカシュ	プラカシュ	64
K：？？？	？？？	64
フーカ先生	フーカ先生	64
ナレーション	ナレーション	64
猿長者	猿長者	64
魔王ノッブ	魔王ノッブ	64
《秋葉原》のマスター	《秋葉原》のマスター	64
A：マシュ	マシュ	63
G：マシュ	マシュ	63
アマデウス・オルタ	アマデウス・オルタ	63
H：マシュ	マシュ	63
キニゴス	キニゴス	63
カリオストロ・オルタ	カリオストロ・オルタ	63
異星の巫女？	異星の巫女？	63
ケイネス	ケイネス	63
ケツァル・コアトル副監獄長	ケツァル・コアトル副監獄長	63
ウィツィロポチトリ	ウィツィロポチトリ	62
魔人アーチャー	魔人アーチャー	62
概要	概要	62
ジニー	ジニー	62
A：ガネーシャ	ガネーシャ	61
I：マシュ	マシュ	61
[FFFFFF]？？？[-]	？？？	61
怪人∞面相	怪人∞面相	61
