jp_name	cn_name	en_name	gender	aliases
呪腕のハサン	咒腕哈桑	Hassan of the Cursed Arm	男性	
ステンノ	斯忒诺	Stheno	女性	
荊軻	荆轲	Jing Ke	女性	
シャルル＝アンリ・サンソン	夏尔·亨利·桑松	Charles-Henri Sanson	男性	シャルル=アンリ・サンソン,シャルル＝アンリサンソン
ファントム・オブ・ジ・オペラ	剧院魅影	Phantom of the Opera	男性	ファントムオブジオペラ
マタ・ハリ	玛塔·哈丽	Mata Hari	女性	マタハリ
カーミラ	卡米拉	Carmilla	女性	
ヘラクレス	赫拉克勒斯	Heracles	男性	
ランスロット	兰斯洛特	Lancelot	男性	
呂布奉先	吕布奉先	Lu Bu Fengxian	男性	
スパルタクス	斯巴达克斯	Spartacus	男性	
坂田金時	坂田金时	Sakata Kintoki	男性	
ヴラド三世	弗拉德三世	Vlad III	男性	
アステリオス	阿斯忒里俄斯	Asterios	男性	
カリギュラ	卡利古拉	Caligula	男性	
ダレイオス三世	大流士三世	Darius III	男性	
清姫	清姬	Kiyohime	女性	
エイリーク・ブラッドアクス	血斧埃里克	Eric Bloodaxe	男性	エイリークブラッドアクス
タマモキャット	玉藻猫	Tamamo Cat	女性	
ジャンヌ・ダルク	贞德	Jeanne d'Arc	女性	ジャンヌダルク
オリオン	俄里翁	Orion	男性	
玉藻の前	玉藻前	Tamamo-no-Mae	女性	
ダビデ	大卫	David	男性	
ヘクトール	赫克托耳	Hektor	男性	
フランシス・ドレイク	弗朗西斯·德雷克	Francis Drake	女性	フランシスドレイク
アン・ボニー	安妮·伯妮	Anne Bonny	女性	アンボニー
メアリー・リード	玛莉·瑞德	Mary Read	女性	メアリーリード
沖田総司	冲田总司	Okita Souji	女性	
織田信長	织田信长	Oda Nobunaga	女性	
スカサハ	斯卡哈	Scáthach	女性	
ディルムッド・オディナ	迪尔姆德·奥迪那	Diarmuid Ua Duibhne	男性	ディルムッドオディナ
フェルグス・マック・ロイ	弗格斯·马克·罗伊	Fergus mac Róich	男性	フェルグスマックロイ
ナーサリー・ライム	童谣	Nursery Rhyme	女性	ナーサリーライム
ジャック・ザ・リッパー	开膛手杰克	Jack the Ripper	女性	ジャックザリッパー
モードレッド	莫德雷德	Mordred	女性	
ニコラ・テスラ	尼古拉·特斯拉	Nikola Tesla	男性	ニコラテスラ
ヴァン・ホーエンハイム・パラケルスス	冯·霍恩海姆·帕拉塞尔苏斯	Paracelsus von Hohenheim	男性	ヴァンホーエンハイムパラケルスス
チャールズ・バベッジ	查尔斯·巴贝奇	Charles Babbage	男性	チャールズバベッジ
ヘンリー・ジキル	亨利·杰基尔	Henry Jekyll	男性	ヘンリージキル
ハイド	海德	Hyde	男性	
フランケンシュタイン	弗兰肯斯坦	Frankenstein	女性	
ソロモン	所罗门	Solomon	男性	
アルジュナ	阿周那	Arjuna	男性	
カルナ	迦尔纳	Karna	男性	
サンタカルナ	圣诞迦尔纳	Santa Karna	男性	
謎のヒロインX	谜之女主角X	Mysterious Heroine X	女性	
フィン・マックール	芬恩·麦克库尔	Fionn mac Cumhaill	男性	フィンマックール
ブリュンヒルデ	布伦希尔德	Brynhild	女性	
ベオウルフ	贝奥武夫	Beowulf	男性	
両儀式	两仪式	Ryougi Shiki	女性	
天草四郎	天草四郎	Amakusa Shirou	男性	
アストルフォ	阿斯托尔福	Astolfo	性別不明	
子ギル	幼吉尔	Gilgamesh (Child)	男性	
巌窟王	岩窟王	Edmond Dantès	男性	
ナイチンゲール	南丁格尔	Florence Nightingale	女性	
ナイチンゲール・サンタ	南丁格尔·圣诞	Florence Nightingale Santa	女性	ナイチンゲールサンタ
クー・フーリン・オルタ	库·丘林·Alter	Cú Chulainn Alter	男性	クーフーリンオルタ
女王メイヴ	女王梅芙	Queen Medb	女性	
エレナ・ブラヴァツキー	海伦娜·布拉瓦茨基	Helena Blavatsky	女性	エレナブラヴァツキー
ラーマ	罗摩	Rama	男性	
李書文	李书文	Li Shuwen	男性	
トーマス・エジソン	托马斯·爱迪生	Thomas Edison	男性	トーマスエジソン
ジェロニモ	杰罗尼莫	Geronimo	男性	
ビリー・ザ・キッド	比利小子	Billy the Kid	男性	ビリーザキッド
ジャンヌ・オルタ	贞德·Alter	Jeanne Alter	女性	ジャンヌオルタ
アンリマユ	安哥拉曼纽	Aŋra Mainiiu	男性	
イスカンダル	伊斯坎达尔	Iskandar	男性	
百貌のハサン	百貌哈桑	Hassan of the Hundred Personas	女性	
アイリスフィール	爱丽丝菲尔	Irisviel	女性	
天の衣	天之衣	Dress of Heaven	女性	
酒呑童子	酒吞童子	Shuten-Douji	女性	
玄奘三蔵	玄奘三藏	Xuanzang Sanzang	女性	
源頼光	源赖光	Minamoto-no-Raikou	女性	
茨木童子	茨木童子	Ibaraki-Douji	女性	
風魔小太郎	风魔小太郎	Fuuma Kotarou	男性	
オジマンディアス	奥斯曼狄斯	Ozymandias	男性	
ニトクリス	尼托克丽丝	Nitocris	女性	
トリスタン	崔斯坦	Tristan	男性	
ガウェイン	高文	Gawain	男性	
静謐のハサン	静谧哈桑	Hassan of the Serenity	女性	
俵藤太	俵藤太	Tawara Touta	男性	
ベディヴィエール	贝德维尔	Bedivere	男性	
レオナルド・ダ・ヴィンチ	莱昂纳多·达·芬奇	Leonardo da Vinci	女性	レオナルドダヴィンチ
イリヤスフィール・フォン・アインツベルン	伊莉雅丝菲尔·冯·爱因兹贝伦	Illyasviel von Einzbern	女性	イリヤスフィールフォンアインツベルン
クロエ・フォン・アインツベルン	克洛伊·冯·爱因兹贝伦	Chloe von Einzbern	女性	クロエフォンアインツベルン
クレオパトラ	克娄巴特拉	Cleopatra	女性	
ジャンヌ・オルタ・サンタ・リリィ	贞德·Alter·圣诞·Lily	Jeanne d'Arc Alter Santa Lily	女性	ジャンヌオルタサンタリリィ
イシュタル	伊什塔尔	Ishtar	女性	
エルキドゥ	恩奇都	Enkidu	性別不明	
ケツァル・コアトル	魁札尔·科亚特尔	Quetzalcoatl	女性	ケツァルコアトル
ケツァル・コアトル・サンバ・サンタ	魁札尔·科亚特尔·桑巴·圣诞	Quetzalcoatl (Samba/Santa)	女性	ケツァルコアトルサンバサンタ
ゴルゴーン	戈耳工	Gorgon	女性	
ジャガーマン	豹人	Jaguar Warrior	女性	
ティアマト	提亚马特	Tiamat	女性	
マーリン	梅林	Merlin	男性	
ゲーティア	盖提亚	Goetia	男性	
宮本武蔵	宫本武藏	Miyamoto Musashi	女性	
“山の翁”	“山中老人”	First Hassan	男性	
謎のヒロインＸ・オルタ	谜之女主角X·Alter	Mysterious Heroine X (Alter)	女性	謎のヒロインXオルタ
新宿	新宿	Shinjuku	男性	
エミヤ・オルタ	卫宫·Alter	Emiya Alter	男性	エミヤオルタ
アーサー・ペンドラゴン	亚瑟·潘德拉贡	Arthur Pendragon	男性	アーサーペンドラゴン
土方歳三	土方岁三	Hijikata Toshizo	男性	
茶々	茶茶	Chacha	女性	
メルトリリス	Meltryllis	Meltryllis	女性	
メルト	Melt	Melt	女性	
パッションリップ	Passionlip	Passionlip	女性	
鈴鹿御前	铃鹿御前	Suzuka Gozen	女性	
ＢＢ	BB	BB	女性	BB
殺生院キアラ	杀生院祈荒	Sessyoin Kiara	女性	
ビーストⅢ／R	BeastⅢ/R	Beast III/R	女性	ビーストIII/R
不夜城	不夜城	Nightless City	女性	
エルドラド	黄金国	El Dorado	女性	
レジスタンス	反抗军	Resistance	男性	
シャーロック・ホームズ	夏洛克·福尔摩斯	Sherlock Holmes	男性	シャーロックホームズ
ポール・バニヤン	保罗·班扬	Paul Bunyan	女性	ポールバニヤン
パールヴァティー	帕尔瓦蒂	Pārvatī	女性	
インフェルノ	Inferno	Inferno	女性	
パライソ	Paraiso	Paraiso	女性	
宝蔵院胤舜	宝藏院胤舜	Houzouin Inshun	男性	
柳生但馬守宗矩	柳生但马守宗矩	Yagyu Tajima-no-kami Munenori	男性	
加藤段蔵	加藤段藏	Katou Danzo	女性	
刑部姫	刑部姬	Osakabehime	女性	
メカエリチャン	机械伊丽亲	Mecha Eli-chan	女性	
メカエリチャンⅡ号機	机械伊丽亲Ⅱ号机	Mecha Eli-chan Mk.II	女性	メカエリチャンII号機,メカエリチャンI号機,メカエリチャン11号機,メカエリチャン1号機
オケアノス	俄刻阿诺斯	Okeanos	女性	
哪吒	哪吒	Nezha	女性	
ミドラーシュ	米德拉什	Midrash	女性	
アビゲイル・ウィリアムズ	阿比盖尔·威廉姆斯	Abigail Williams	女性	アビゲイルウィリアムズ
アビゲイル・サンタ	阿比盖尔·圣诞	Abigail Williams (Santa)	女性	アビゲイルサンタ
エレシュキガル	埃列什基伽勒	Ereshkigal	女性	
エレシュキガル・オルタ	埃列什基伽勒·Alter	Ereshkigal Alter	女性	
ニンキガル	宁基伽勒	Ninkigal	女性	
葛飾北斎	葛饰北斋	Katsushika Hokusai	女性	
セミラミス	塞弥拉弥斯	Semiramis	女性	
浅上藤乃	浅上藤乃	Asagami Fujino	女性	
アナスタシア・ニコラエヴナ・ロマノヴァ	阿纳斯塔西娅·尼古拉耶芙娜·罗曼诺娃	Anastasia Nikolaevna Romanova	女性	アナスタシアニコラエヴナロマノヴァ
アタランテ・オルタ	阿塔兰忒·Alter	Atalante Alter	女性	アタランテオルタ
アヴィケブロン	阿维斯布隆	Avicebron	男性	
アントニオ・サリエリ	安东尼奥·萨列里	Antonio Salieri	男性	アントニオサリエリ
イヴァン雷帝	伊凡雷帝	Ivan the Terrible	男性	
アキレウス	阿喀琉斯	Achilles	男性	
ケイローン	喀戎	Chiron	男性	
ジーク	齐格	Sieg	男性	
沖田総司・オルタ	冲田总司·Alter	Okita Souji (Alter)	女性	沖田総司オルタ
岡田以蔵	冈田以藏	Okada Izo	男性	
坂本龍馬	坂本龙马	Sakamoto Ryouma	男性	
ナポレオン	拿破仑	Napoleon	男性	
シグルド	齐格鲁德	Sigurd	男性	
ワルキューレ	瓦尔基里	Valkyrie	女性	
スカサハ＝スカディ	斯卡哈＝斯卡蒂	Scáthach-Skadi	女性	スカサハ=スカディ
謎のヒロインXX	谜之女主角XX	Mysterious Heroine XX	女性	
シトナイ	志度内	Sitonai	女性	
項羽	项羽	Xiang Yu	男性	
蘭陵王	兰陵王	Prince of Lan Ling	男性	
秦良玉	秦良玉	Qin Liangyu	女性	
始皇帝	始皇帝	Qin Shi Huang	性別不明	
虞美人	虞美人	Yu Mei-ren	女性	
赤兎馬	赤兔马	Red Hare	男性	
ブラダマンテ	布拉达曼特	Bradamante	女性	
紅閻魔	红阎魔	Beni-Enma	女性	
紅閻魔・オルタ	红阎魔·Alter	Beni-Enma Alter	女性	
美遊・エーデルフェルト	美游·艾德费尔特	Miyu Edelfelt	女性	美遊エーデルフェルト
紫式部	紫式部	Murasaki Shikibu	女性	
キングプロテア	Kingprotea	Kingprotea	女性	
プロテア	Protea	Protea	女性	
キングプロテア・オルタ	Kingprotea·Alter	Kingprotea Alter	女性	
プロテア・オルタ	Protea·Alter	Protea Alter	女性	
カーマ	迦摩	Kama	女性	
ビーストⅢ／L	BeastⅢ/L	Beast III/L	女性	ビーストIII/L
司馬懿	司马懿	Sima Yi	男性	
ライネス	莱妮丝	Reines	女性	
アストライア	阿斯特赖亚	Astraea	女性	
グレイ	格蕾	Gray	女性	クレイ
大いなる石像神	伟大的石像神	Great Stone Statue God	女性	
ラクシュミー・バーイー	拉克什米·芭伊	Lakshmi Bai	女性	ラクシュミーバーイー
ウィリアム・テル	威廉·退尔	William Tell	男性	ウィリアムテル
アルジュナ・オルタ	阿周那·Alter	Arjuna (Alter)	男性	アルジュナオルタ
アシュヴァッターマン	马嘶	Aśvatthāman	男性	
アスクレピオス	阿斯克勒庇俄斯	Asclepius	男性	
森長可	森长可	Mori Nagayoshi	男性	
長尾景虎	长尾景虎	Nagao Kagetora	女性	
イアソン	伊阿宋	Jason	男性	
パリス	帕里斯	Paris	男性	
ガレス	加雷斯	Gareth	女性	
バーソロミュー・ロバーツ	巴沙洛缪·罗伯茨	Bartholomew Roberts	男性	バーソロミューロバーツ
陳宮	陈宫	Chen Gong	男性	
シャルロット・コルデー	夏洛特·科黛	Charlotte Corday	女性	シャルロットコルデー
サロメ	莎乐美	Salome	女性	
謎のアルターエゴ・Λ	谜之Alterego·Λ	Mysterious Alter Ego Λ	女性	謎のアルターエゴΛ
オキタ・Ｊ・ソウジ	冲田·J·总司	Okita J. Souji	女性	オキタ・J・ソウジ,オキタＪソウジ
スペース・イシュタル	太空伊什塔尔	Space Ishtar	女性	スペースイシュタル
カラミティ・ジェーン	灾星简	Calamity Jane	女性	カラミティジェーン
超人オリオン	超人俄里翁	Super Orion	男性	
マンドリカルド	曼迪卡尔多	Mandricardo	男性	
エウロペ	欧罗巴	Europa	女性	
楊貴妃	杨贵妃	Yang Guifei	女性	
清少納言	清少纳言	Sei Shounagon	女性	
オデュッセウス	奥德修斯	Odysseus	男性	
ディオスクロイ	狄俄斯库里	Dioscuri	性別不明	
カイニス	凯妮斯	Caenis	性別不明	力イニス
ロムルス＝クィリヌス	罗穆路斯·奎里努斯	Romulus=Quirinus	性別不明	ロムルス=クィリヌス
ボイジャー	旅行者	Voyager	男性	
鬼女紅葉	鬼女红叶	Kijyo Koyo	女性	
宇津見エリセ	宇津见绘里濑	Utsumi Erice	女性	
巴御前	巴御前	Tomoe Gozen	女性	
卑弥呼	卑弥呼	Himiko	女性	
斎藤一	斋藤一	Saito Hajime	男性	
織田信勝	织田信胜	Oda Nobukatsu	男性	
ヴィンセント・ヴァン・ゴッホ	文森特·梵高	Vincent van Gogh	女性	ヴィンセントヴァンゴッホ
蘆屋道満	芦屋道满	Ashiya Douman	性別不明	
渡辺綱	渡边纲	Watanabe-no-Tsuna	男性	
伊吹童子	伊吹童子	Ibuki-Douji	女性	
ヴリトラ	弗栗多	Vritra	女性	
千子村正	千子村正	Senji Muramasa	男性	
平景清	平景清	Taira-no-Kagekiyo	性別不明	
鬼一法眼	鬼一法眼	Kiichi Hogen	性別不明	
アムール	阿摩耳	Amor	女性	
カレン	卡莲	Caren	女性	
ガラテア	伽拉忒亚	Galatea	女性	
ミス・クレーン	Miss・克莱恩	Miss Crane	女性	ミスクレーン
謎のアイドルX・オルタ	谜之偶像X·Alter	Mysterious Idol X (Alter)	女性	謎のアイドルXオルタ
モルガン	摩根	Morgan	女性	
妖精騎士ガウェイン	妖精骑士高文	Tam Lin Gawain	女性	
バーヴァン・シー	芭万·希	Baobhan Sith	女性	バーヴァンシー
妖精騎士トリスタン	妖精骑士崔斯坦	Tam Lin Tristan	女性	
バーゲスト	巴格斯特	Barghest	女性	
妖精騎士ランスロット	妖精骑士兰斯洛特	Tam Lin Lancelot	女性	
パーシヴァル	珀西瓦尔	Percival	男性	
光のコヤンスカヤ	光之高扬斯卡娅	Koyanskaya of Light	女性	
ハベトロット	哈贝特洛特	Habetrot	女性	
オベロン·ヴォーティガーン	奥伯龙·伏提庚	Oberon Vortigern	男性	
ヴィイ	维	Viy		
ジャック・ド・モレー	雅克·德·莫莱	Jacques de Molay	女性	ジャックドモレー
ゼノビア	芝诺比阿	Zenobia	女性	
出雲阿国	出云阿国	Izumo-no-Okuni	女性	
謎の蘭丸X	谜之兰丸X	Mysterious Ranmaru X	性別不明	
太公望	太公望	Taigong Wang	男性	
ドブルイニャ・ニキチッチ	多布雷尼亚·尼基季奇	Dobrynya Nikitich	女性	ドブルイニャニキチッチ
ビーストⅣ	BeastⅣ	Beast IV	女性	ビーストIV
闇のコヤンスカヤ	暗之高扬斯卡娅	Koyanskaya of Dark	女性	
ヘファイスティオン	赫费斯提翁	Hephaistíon	女性	
マナナン・マク・リール	马纳南·麦克·利尔	Manannán mac Lir	男性	マナナンマクリール
バゼット	巴泽特	Bazett	女性	
徴姉妹	征氏姐妹	Hai Bà Trưng	女性	
太歳星君	太岁星君	Taisui Xingjun	男性	
スーパーバニヤン	超级班扬	Super Bunyan	女性	
大黒天	大黑天	Daikokuten	女性	
メアリー・アニング	玛丽·安宁	Mary Anning	女性	メアリーアニング
コンスタンティノス11世	君士坦丁十一世	Kōnstantînos XI	男性	
シャルルマーニュ	查理曼	Charlemagne	男性	
ローラン	罗兰	Roland	男性	
クリームヒルト	克里姆希尔德	Kriemhild	女性	
ジェームズ・モリアーティ	詹姆斯·莫里亚蒂	James Moriarty	男性	ジェームズモリアーティ
ドン・キホーテ	堂·吉诃德	Don Quixote	男性	ドンキホーテ
張角	张角	Zhang Jue	男性	
曲亭馬琴	曲亭马琴	Kyokutei Bakin	女性	
源為朝	源为朝	Minamoto-no-Tametomo	男性	
アーキタイプ：アース	Archetype：Earth	Archetype: Earth	女性	アーキタイプ:アース
徐福	徐福	Xu Fu	女性	
レディ・アヴァロン	Lady・阿瓦隆	Lady Avalon	女性	レディアヴァロン
武則天	武则天	Wu Zetian	女性	
スルーズ	斯露德	Thrúd	女性	
ヒルド	希露德	Hildr	女性	
オルトリンデ	奥特琳德	Ortlinde	女性	
千利休	千利休	Sen-no-Rikyu	女性	
山南敬助	山南敬助	Yamanami Keisuke	男性	
壱与	壹与	Iyo	女性	
呼延灼	呼延灼	Huyan Zhuo	女性	
黄飛虎	黄飞虎	Huang Feihu	男性	
九紋竜エリザ	九纹龙伊丽莎	Nine-Tattoo Dragon Elisa	女性	
ブリトマート	布里托玛特	Britomart	女性	
グレゴリー・ラスプーチン	格里戈里·拉斯普京	Grigori Rasputin	男性	グレゴリーラスプーチン
ニトクリス・オルタ	尼托克丽丝·Alter	Nitocris Alter	女性	ニトクリスオルタ
テスカトリポカ	特斯卡特利波卡	Tezcatlipoca	男性	
トラロック	特拉洛克	Tlaloc	女性	
ククルカン	库库尔坎	Kukulcan	女性	
女教皇ヨハンナ	女教皇若安	Pope Johanna	女性	
高杉晋作	高杉晋作	Takasugi Shinsaku	男性	
ラーヴァ	幼体	Larva	女性	
ソドムズビースト	所多玛之兽	Sodom's Beast	女性	
ドラコー	德拉科	Draco	女性	
ロクスタ	洛库斯塔	Locusta	女性	
セタンタ	瑟坦特	Setanta	男性	
果心居士	果心居士	Kashin Koji	性別不明	
ビーマ	怖军	Bhima	男性	
ドゥリーヨダナ	难敌	Duryodhana	男性	
ドゥルガー	杜尔伽	Durga	女性	
雨の魔女トネリコ	雨之魔女梣	Aesc the Rain Witch	女性	
ノクナレア・ヤラアーンドゥ	诺克娜蕾·雅兰杜	Cnoc na Riabh Yaraan-doo	女性	ノクナレアヤラアーンドゥ
メリュジーヌ	梅柳齐娜	Mélusine	女性	
メリュジーヌ・オンディーヌ	梅柳齐娜·翁蒂娜	Mélusine Undine	女性	メリュジーヌオンディーヌ
ＵＤＫ－バーゲスト	UDK－巴格斯特	UDK-Barghest	女性	UDK-バーゲスト,UDK巴格斯特
ケット・クー・ミコケル	凯特·库·米可科尔	Cait Cú Cerpriestess	女性	ケットクーミコケル
ワンジナ	旺吉娜	Wandjina	性別不明	
プトレマイオス	托勒密	Ptolemaîos	男性	
杉谷善住坊	杉谷善住坊	Sugitani Zenjubou	性別不明	
テセウス	忒修斯	Theseus	男性	
武田晴信	武田晴信	Takeda Harunobu	男性	
永倉新八	永仓新八	Nagakura Shinpachi	男性	
雑賀孫一	杂贺孙一	Saika Magoichi	女性	
上杉謙信	上杉谦信	Uesugi Kenshin	女性	
ヤマトタケル	大和武尊	Yamato Takeru	性別不明	
丑御前	丑御前	Ushi Gozen	女性	
由井正雪	由井正雪	Yui Shousetsu	女性	
宮本伊織	宫本伊织	Miyamoto Iori	男性	
アンドロメダ	安德洛墨达	Andromeda	女性	
マリー・オルタ	玛丽·Alter	Marie Antoinette Alter	女性	マリーオルタ
耀星のハサン	耀星哈桑	Hassan of the Shining Star	男性	
巌窟王 モンテ・クリスト	岩窟王 基督山	The Count of Monte Cristo	男性	巌窟王 モンテクリスト,巌窟王モンテ・クリスト
アレッサンドロ・ディ・カリオストロ	亚历山德罗·迪·卡利奥斯特罗	Alessandro di Cagliostro	男性	アレッサンドロディカリオストロ
Ｅ－フレアマリー	E－火玛丽	E-Flare Marie	女性	E-フレアマリー
Ｅ－アクアマリー	E－水玛丽	E-Aqua Marie	女性	E-アクアマリー
蒼崎青子	苍崎青子	Aozaki Aoko	女性	
静希草十郎	静希草十郎	Shizuki Soujuurou	男性	
久遠寺有珠	久远寺有珠	Kuonji Alice	女性	
ひびき	响	Hibiki	女性	ひびき
千鍵	千键	Chikagi	女性	
アンキ・エレシュキガル	安基埃列什基伽勒	Anki Ereshkigal	女性	アンキエレシュキガル
スペース・エレシュキガル	太空埃列什基伽勒	Space Ereshkigal	女性	スペースエレシュキガル
謎の代行者C.I.E.L	谜之代行者C.I.E.L	Mysterious Executor C.I.E.L	女性	
ＢＢドバイ	BB迪拜	BB Dubai	女性	BBドバイ
ＢＢコスモ	BB宇宙	BB Cosmos	女性	BBコスモ
ゴールデンＢＢ	黄金BB	Golden BB	女性	ゴールデンBB
テノチティトラン	特诺奇蒂特兰	Tenochtitlan	女性	
謎のヒロインXX・オルタ	谜之女主角XX·Alter	Mysterious Heroine XX (Alter)	女性	謎のヒロインXXオルタ
カズラドロップ	Kazuradrop	Kazuradrop	女性	
ツタンカーメン	图坦卡蒙	Tutankhamun	男性	
ロウヒ	娄希	Louhi	女性	
ファンタズムーン	Phantasmoon	Phantasmoon	女性	
スペース・ファンタズムーンＶ	Space PhantasmoonⅤ	Space Phantasmoon V	女性	スペースファンタズムーンV
サンタズムーン	Santasmoon	Santa's Moon	女性	
リチャードⅠ世	理查一世	Richard I	男性	リチャードI世
ビショーネ	比肖内	Biscione	女性	
黒姫	黑姬	Kurohime	女性	
小野小町	小野小町	Ono-no-Komachi	女性	
Ｅ－グランマリー	E－宏玛丽	E-Grand Marie	女性	E-グランマリー
ダンテ・アリギエーリ	但丁·阿利吉耶里	Dante Alighieri	男性	ダンテアリギエーリ
メタトロン・ジャンヌ	梅塔特隆·贞德	Metatron Jeanne	女性	メタトロンジャンヌ
アショカ王	阿育王	King Ashoka	男性	
リリス	莉莉丝	Lilith	女性	
テュフォン・エフェメロス	堤丰·厄斐墨洛斯	Typhon Ephemeros	女性	テュフォンエフェメロス
イプシロン	伊普西龙	Epsilon	女性	
インドラ	因陀罗	Indra	性別不明	
Ｅ－ステラマリー	E－星玛丽	E-Stellar Marie	女性	E-ステラマリー
Ｕ－オルガマリー	U－奥尔加玛丽	U-Olga Marie	女性	U-オルガマリー
玉兎	玉兔	Jade Rabbit	女性	
ジュネス・クレーン	热内斯·克莱恩	Jeunesse Crane	女性	ジュネスクレーン
ノア	诺亚	Noah	男性	
河上彦斎	河上彦斋	Kawakami Gensai	男性	
藤堂平助	藤堂平助	Tōdō Heisuke	男性	
原田左之助	原田左之助	Harada Sanosuke	男性	
近藤勇	近藤勇	Kondo Isami	男性	
終わりのエリザベート	终结之伊丽莎白	Elisabeth of the End	女性	
マリス・カルデアス	马里斯·迦勒底亚斯	Maris Chaldeas	性別不明	マリスカルデアス
ロード・ログレス	领主洛格雷斯	Lord Logres	女性	ロードログレス
ログレス	洛格雷斯	Logres	女性	
花咲翁	花咲翁	Hanasaka-no-Okina	男性	
蛇女房	蛇女房	Hebi Nyōbō	女性	
フローラ	芙萝拉	Flora	女性	
デメテル・エリニュス	得墨忒耳·厄里倪厄斯	Demeter Erinyes	女性	
フランソワ・プレラーティ	弗朗索瓦·普勒拉蒂	François Prélati	男性	
フランチェスカ・プレラーティ	弗兰切斯卡·普勒拉蒂	Francesca Prelati	女性	
ヒッポリュテ	希波吕忒	Hippolyta	女性	
ジョン・ラックランド	无地王约翰	John Lackland	男性	ジョンラックランド
ウルズ	乌尔德	Urðr	女性	
カマソッソ	卡玛佐茨	Camazotz	男性	
朱瑞鳥・紅閻魔	朱瑞鸟·红阎魔	Vermillion Bird, Beni-Enma	女性	朱瑞鳥紅閻魔,朱瑞鳥·紅閻魔
恐竜王	恐龙王	Dinosaur King	男性	
イスカリ	伊斯卡利	Izcalli	男性	
ORT	ORT	ORT		
スカンジナビア・ペペロンチーノ	斯堪的纳维亚·佩佩隆奇诺	Scandinavia Peperoncino	男性	スカンジナビアペペロンチーノ,スカンジナビア·ペペロンチーノ
妙漣寺鴉郎	妙漣寺鴉郎		男性	みょうれんじあろう
コヤンスカヤ	高扬斯卡娅	Koyanskaya	女性	
ブランカ	布兰卡	Blanca	女性	
ウェールズ	威尔士	Wales		
オーロラ	欧若拉	Aurora	女性	
コーラル	科拉尔	Coral	女性	
スプリガン	斯普里根	Spriggan	男性	
亜鈴百種・排熱大公	亚铃百种·散热大公		男性	亜鈴百種排熱大公,亜鈴百種·排熱大公
ボガード	博格特	Boggart	男性	
エインセル	艾因塞尔	Ainsel	女性	
ノクナレア	诺克娜蕾	Cnoc na Riabh	女性	
ウィンキー	温基	Winky	男性	
ワグ	瓦格	Wag	男性	
ロブ	罗布	Rob	男性	
ホープ	霍普	Hope	女性	
