speaker_id	aliases	voice_type	cn_voice_name	cn_style	cn_pitch	cn_rate	cn_volume
オルガマリー	オルガマリー|オルガマリー？	young_female	zh-CN-XiaohanNeural	angry	+2%	0.98	100
エルメロイⅡ世	エルメロイⅡ世|エルメロイⅡ世？	mature_male	zh-CN-YunjianNeural	serious	-3%	0.94	100
黒髭	黒髭|黒髭？	mature_male	zh-CN-YunfengNeural	cheerful	-2%	0.98	100
コヤンスカヤ	コヤンスカヤ	mature_female	zh-CN-XiaomoNeural	envious	+1%	0.96	100
ロビンフッド	ロビンフッド	young_male	zh-CN-YunxiNeural	chat	0%	1.00	100
紫式部	紫式部	mature_female	zh-CN-XiaohanNeural	gentle	-1%	0.95	100
イシュタル	イシュタル	young_female	zh-CN-XiaoyiNeural	cheerful	+4%	1.02	100
メドゥーサ	メドゥーサ|メドゥーサ？	mature_female	zh-CN-XiaoruiNeural	calm	-1%	0.94	100
葛飾北斎	葛飾北斎	young_female	zh-CN-XiaoyiNeural	cheerful	+5%	1.02	100
ニトクリス	ニトクリス	young_female	zh-CN-XiaohanNeural	embarrassed	+3%	1.00	100
アビゲイル	アビゲイル	child	zh-CN-XiaoshuangNeural	chat	+8%	0.98	100
ネロ	ネロ|ネロ？	young_female	zh-CN-XiaoxiaoNeural	cheerful	+5%	1.03	100
ギルガメッシュ	ギルガメッシュ	mature_male	zh-CN-YunjianNeural	serious	-3%	0.95	100
茨木童子	茨木童子	child	zh-CN-XiaoyouMultilingualNeural	cute	+8%	1.05	100
源頼光	源頼光|源頼光の声	mature_female	zh-CN-XiaoxiaoNeural	affectionate	-1%	0.94	100
ＢＢ	ＢＢ|ＢＢ？	young_female	zh-CN-XiaomengNeural	chat	+5%	1.04	100
マンドリカルド	マンドリカルド|マンドリカルド？	young_male	zh-CN-YunxiNeural	embarrassed	+1%	0.97	100
エミヤ	エミヤ	mature_male	zh-CN-YunjianNeural	serious	-3%	0.95	100
太公望	太公望	mature_male	zh-CN-YunxiNeural	narration-relaxed	-1%	0.98	100
プトレマイオス	プトレマイオス	elder_male	zh-CN-YunzeNeural	calm	-5%	0.92	100
天草四郎	天草四郎	young_male	zh-CN-YunxiaNeural	calm	+3%	0.98	100
カイニス	カイニス	androgynous	zh-CN-XiaomoNeural	angry	-2%	0.97	100
清姫	清姫|清姫？	young_female	zh-CN-XiaoyiNeural	fearful	+4%	0.99	100
清少納言	清少納言|清少納言？	young_female	zh-CN-XiaoyiNeural	cheerful	+7%	1.06	100
ジャンヌ	ジャンヌ|ジャンヌ？	mature_female	zh-CN-XiaoxiaoNeural	gentle	+1%	0.96	100
スカサハ＝スカディ	スカサハ＝スカディ	mature_female	zh-CN-XiaoruiNeural	calm	-2%	0.94	100
ラーマ	ラーマ	young_male	zh-CN-YunxiaNeural	cheerful	+3%	0.99	100
段蔵	段蔵	mature_female	zh-CN-XiaoxiaoNeural	calm	0%	0.94	100
牛若丸	牛若丸|牛若丸？	androgynous	zh-CN-XiaoyiNeural	cheerful	+3%	1.02	100
千子村正	千子村正	mature_female	zh-CN-XiaoruiNeural	calm	-2%	0.94	100
スカサハ	スカサハ	mature_male	zh-CN-YunfengNeural	serious	-2%	0.96	100
オリオン	オリオン	young_male	zh-CN-YunxiaNeural	cheerful	+3%	1.00	100
シャルロット・コルデー	シャルロット・コルデー	mature_female	zh-CN-XiaoruiNeural	calm	-2%	0.94	100
エリセ	エリセ	androgynous	zh-CN-YunxiaNeural	calm	+2%	0.99	100
ペペロンチーノ	ペペロンチーノ	mature_female	zh-CN-XiaohanNeural	calm	0%	0.97	100
メイヴ	メイヴ	mature_female	zh-CN-XiaomoNeural	calm	-1%	0.96	100
アストルフォ	アストルフォ	young_female	zh-CN-XiaomengNeural	chat	+5%	1.03	100
アスクレピオス	アスクレピオス	young_male	zh-CN-YunxiaNeural	cheerful	+3%	1.00	100
クー・フーリン	クー・フーリン	young_female	zh-CN-XiaomengNeural	chat	+5%	1.03	100
パーシヴァル	パーシヴァル	mature_male	zh-CN-YunzeNeural	calm	-4%	0.94	100
マーリン	マーリン	young_female	zh-CN-XiaomengNeural	chat	+5%	1.03	100
虞美人	虞美人	mature_male	zh-CN-YunfengNeural	serious	-2%	0.96	100
アナスタシア	アナスタシア	mature_male	zh-CN-YunfengNeural	serious	-2%	0.96	100
ナポレオン	ナポレオン	young_female	zh-CN-XiaohanNeural	gentle	+2%	0.99	100
呼延灼	呼延灼	young_male	zh-CN-YunxiaNeural	cheerful	+3%	1.00	100
ダンテ	ダンテ	androgynous	zh-CN-XiaomoNeural	calm	-1%	0.97	100
風魔小太郎	風魔小太郎	mature_female	zh-CN-XiaoruiNeural	calm	-2%	0.94	100
キルケー	キルケー	young_male	zh-CN-YunxiaNeural	cheerful	+3%	1.00	100
ガレス	ガレス	mature_male	zh-CN-YunzeNeural	calm	-4%	0.94	100
イリヤ	イリヤ	young_female	zh-CN-XiaomengNeural	chat	+5%	1.03	100
酒呑童子	酒呑童子	mature_male	zh-CN-YunzeNeural	calm	-4%	0.94	100
モレー	モレー	young_female	zh-CN-XiaomengNeural	chat	+5%	1.03	100
沖田総司	沖田総司	young_female	zh-CN-XiaohanNeural	gentle	+2%	0.99	100
三蔵	三蔵	young_male	zh-CN-YunxiaNeural	cheerful	+3%	1.00	100
武則天	武則天	androgynous	zh-CN-XiaomoNeural	calm	-1%	0.97	100
アキレウス	アキレウス	young_male	zh-CN-YunxiNeural	chat	+1%	0.99	100
ライネス	ライネス	young_male	zh-CN-YunxiaNeural	cheerful	+3%	1.00	100
カルナ	カルナ	mature_female	zh-CN-XiaoruiNeural	calm	-2%	0.94	100
トリスタン	トリスタン	androgynous	zh-CN-XiaomoNeural	calm	-1%	0.97	100
キリシュタリア	キリシュタリア	mature_female	zh-CN-XiaoxiaoNeural	gentle	0%	0.96	100
エジソン	エジソン	mature_female	zh-CN-XiaoruiNeural	calm	-2%	0.94	100
パッションリップ	パッションリップ	mature_male	zh-CN-YunfengNeural	serious	-2%	0.96	100
ゴッホ	ゴッホ	young_female	zh-CN-XiaoyiNeural	cheerful	+4%	1.02	100
エレシュキガル	エレシュキガル	androgynous	zh-CN-YunxiNeural	chat	0%	0.98	100
アルジュナ	アルジュナ	androgynous	zh-CN-XiaomoNeural	calm	-1%	0.97	100
巴御前	巴御前	young_female	zh-CN-XiaoxiaoNeural	cheerful	+3%	1.00	100
玉藻の前	玉藻の前	young_male	zh-CN-YunxiaNeural	cheerful	+3%	1.00	100
ムニエル	ムニエル	young_male	zh-CN-YunxiNeural	chat	+1%	0.99	100
バーソロミュー	バーソロミュー	mature_female	zh-CN-XiaohanNeural	calm	0%	0.97	100
シグルド	シグルド	androgynous	zh-CN-XiaomoNeural	calm	-1%	0.97	100
徐福	徐福	mature_female	zh-CN-XiaohanNeural	calm	0%	0.97	100
織田信長	織田信長	mature_female	zh-CN-XiaoxiaoNeural	gentle	0%	0.96	100
サリエリ	サリエリ	mature_female	zh-CN-XiaoruiNeural	calm	-2%	0.94	100
ヴラド三世	ヴラド三世	young_male	zh-CN-YunxiNeural	chat	+1%	0.99	100
ハベトロット	ハベトロット	mature_female	zh-CN-XiaoxiaoNeural	gentle	0%	0.96	100
シェヘラザード	シェヘラザード	androgynous	zh-CN-XiaomoNeural	calm	-1%	0.97	100
マリー	マリー	young_male	zh-CN-YunxiaNeural	cheerful	+3%	1.00	100
宮本伊織	宮本伊織	mature_male	zh-CN-YunjianNeural	serious	-3%	0.95	100
マルタ	マルタ	young_male	zh-CN-YunxiNeural	chat	+1%	0.99	100
エルキドゥ	エルキドゥ	young_female	zh-CN-XiaomengNeural	chat	+5%	1.03	100
高杉晋作	高杉晋作	young_female	zh-CN-XiaoyiNeural	cheerful	+4%	1.02	100
エレナ	エレナ	mature_male	zh-CN-YunfengNeural	serious	-2%	0.96	100
テペウ	テペウ	young_male	zh-CN-YunxiaNeural	cheerful	+3%	1.00	100
クリームヒルト	クリームヒルト	young_female	zh-CN-XiaoyiNeural	cheerful	+4%	1.02	100
伊吹童子	伊吹童子	androgynous	zh-CN-XiaomoNeural	calm	-1%	0.97	100
ヨハンナ	ヨハンナ	mature_male	zh-CN-YunzeNeural	calm	-4%	0.94	100
オデュッセウス	オデュッセウス	young_female	zh-CN-XiaomengNeural	chat	+5%	1.03	100
鈴鹿御前	鈴鹿御前	mature_male	zh-CN-YunjianNeural	serious	-3%	0.95	100
アンデルセン	アンデルセン	young_female	zh-CN-XiaoyiNeural	cheerful	+4%	1.02	100
長尾景虎	長尾景虎	young_male	zh-CN-YunxiaNeural	cheerful	+3%	1.00	100
Ｘ・オルタ	Ｘ・オルタ	mature_female	zh-CN-XiaohanNeural	calm	0%	0.97	100
ガネーシャ	ガネーシャ	mature_female	zh-CN-XiaoruiNeural	calm	-2%	0.94	100
フェルグス	フェルグス	androgynous	zh-CN-XiaomoNeural	calm	-1%	0.97	100
坂本龍馬	坂本龍馬	mature_female	zh-CN-XiaoruiNeural	calm	-2%	0.94	100
Ｓイシュタル	Ｓイシュタル	androgynous	zh-CN-YunxiNeural	chat	0%	0.98	100
サンソン	サンソン	androgynous	zh-CN-XiaomoNeural	calm	-1%	0.97	100
ナイチンゲール	ナイチンゲール	young_male	zh-CN-YunxiaNeural	cheerful	+3%	1.00	100
燕青	燕青	young_female	zh-CN-XiaomengNeural	chat	+5%	1.03	100
岸波白野	岸波白野	young_female	zh-CN-XiaoxiaoNeural	cheerful	+3%	1.00	100
フローラ	フローラ	mature_male	zh-CN-YunzeNeural	calm	-4%	0.94	100
ニキチッチ	ニキチッチ	young_female	zh-CN-XiaoyiNeural	cheerful	+4%	1.02	100
アマゾネスＣＥＯ	アマゾネスＣＥＯ	mature_female	zh-CN-XiaohanNeural	calm	0%	0.97	100
ブリュンヒルデ	ブリュンヒルデ	mature_female	zh-CN-XiaoxiaoNeural	gentle	0%	0.96	100
殺生院キアラ	殺生院キアラ	mature_male	zh-CN-YunfengNeural	serious	-2%	0.96	100
パールヴァティー	パールヴァティー	mature_male	zh-CN-YunjianNeural	serious	-3%	0.95	100
斎藤一	斎藤一	young_male	zh-CN-YunxiNeural	chat	+1%	0.99	100
ナーサリー・ライム	ナーサリー・ライム	young_male	zh-CN-YunxiaNeural	cheerful	+3%	1.00	100
Ｘ	Ｘ	young_female	zh-CN-XiaomengNeural	chat	+5%	1.03	100
メカエリチャン	メカエリチャン	mature_male	zh-CN-YunfengNeural	serious	-2%	0.96	100
ブラダマンテ	ブラダマンテ	young_male	zh-CN-YunxiNeural	chat	+1%	0.99	100
ドゥリーヨダナ	ドゥリーヨダナ	young_female	zh-CN-XiaohanNeural	gentle	+2%	0.99	100
ジークフリート	ジークフリート	young_female	zh-CN-XiaoyiNeural	cheerful	+4%	1.02	100
グレイ	グレイ	young_female	zh-CN-XiaomengNeural	chat	+5%	1.03	100
メルトリリス	メルトリリス	mature_male	zh-CN-YunzeNeural	calm	-4%	0.94	100
クロエ	クロエ	androgynous	zh-CN-XiaomoNeural	calm	-1%	0.97	100
ブーディカ	ブーディカ	young_male	zh-CN-YunxiNeural	chat	+1%	0.99	100
ケイローン	ケイローン	young_female	zh-CN-XiaohanNeural	gentle	+2%	0.99	100
沖田オルタ	沖田オルタ	young_male	zh-CN-YunxiaNeural	cheerful	+3%	1.00	100
オジマンディアス	オジマンディアス	androgynous	zh-CN-XiaomoNeural	calm	-1%	0.97	100
メタトロン・ジャンヌ	メタトロン・ジャンヌ	androgynous	zh-CN-YunxiaNeural	calm	+2%	0.99	100
ビリー	ビリー	young_female	zh-CN-XiaoxiaoNeural	cheerful	+3%	1.00	100
クレオパトラ	クレオパトラ	mature_male	zh-CN-YunjianNeural	serious	-3%	0.95	100
バーゲスト	バーゲスト	mature_male	zh-CN-YunfengNeural	serious	-2%	0.96	100
ビショーネ	ビショーネ	mature_female	zh-CN-XiaoruiNeural	calm	-2%	0.94	100
Ｕ－オルガマリー	Ｕ－オルガマリー	mature_female	zh-CN-XiaoruiNeural	calm	-2%	0.94	100
ベディヴィエール	ベディヴィエール	young_female	zh-CN-XiaomengNeural	chat	+5%	1.03	100
哪吒	哪吒	mature_female	zh-CN-XiaohanNeural	calm	0%	0.97	100
ドレイク	ドレイク	mature_female	zh-CN-XiaoxiaoNeural	gentle	0%	0.96	100
アストライア	アストライア	young_male	zh-CN-YunxiNeural	chat	+1%	0.99	100
シャルルマーニュ	シャルルマーニュ	mature_male	zh-CN-YunzeNeural	calm	-4%	0.94	100
シェイクスピア	シェイクスピア	androgynous	zh-CN-XiaomoNeural	calm	-1%	0.97	100
ジーク	ジーク	young_male	zh-CN-YunxiaNeural	cheerful	+3%	1.00	100
ジャガーマン	ジャガーマン	androgynous	zh-CN-YunxiNeural	chat	0%	0.98	100
アタランテ・オルタ	アタランテ・オルタ	mature_female	zh-CN-XiaoruiNeural	calm	-2%	0.94	100
おみぃさん	おみぃさん	young_male	zh-CN-YunxiaNeural	cheerful	+3%	1.00	100
ガウェイン	ガウェイン	mature_female	zh-CN-XiaoruiNeural	calm	-2%	0.94	100
ヴリトラ	ヴリトラ	young_male	zh-CN-YunxiNeural	chat	+1%	0.99	100
ノッブ	ノッブ	mature_male	zh-CN-YunjianNeural	serious	-3%	0.95	100
タマモキャット	タマモキャット	androgynous	zh-CN-XiaomoNeural	calm	-1%	0.97	100
ヘクトール	ヘクトール	mature_female	zh-CN-XiaohanNeural	calm	0%	0.97	100
荊軻	荊軻	young_male	zh-CN-YunxiaNeural	cheerful	+3%	1.00	100
ジェロニモ	ジェロニモ	androgynous	zh-CN-XiaomoNeural	calm	-1%	0.97	100
シトナイ	シトナイ	mature_female	zh-CN-XiaoxiaoNeural	gentle	0%	0.96	100
カズラドロップ	カズラドロップ	mature_female	zh-CN-XiaoruiNeural	calm	-2%	0.94	100
楊貴妃	楊貴妃	young_male	zh-CN-YunxiNeural	chat	+1%	0.99	100
紅閻魔	紅閻魔	young_female	zh-CN-XiaoyiNeural	cheerful	+4%	1.02	100
アルトリア・キャスター	アルトリア・キャスター	mature_female	zh-CN-XiaoxiaoNeural	gentle	0%	0.96	100
岡田以蔵	岡田以蔵	androgynous	zh-CN-XiaomoNeural	calm	-1%	0.97	100
柳生但馬守	柳生但馬守	young_female	zh-CN-XiaomengNeural	chat	+5%	1.03	100
ＢＢコスモ	ＢＢコスモ	young_female	zh-CN-XiaoyiNeural	cheerful	+4%	1.02	100
アルトリア・オルタ	アルトリア・オルタ	young_female	zh-CN-XiaomengNeural	chat	+5%	1.03	100
ケツァル・コアトル	ケツァル・コアトル	androgynous	zh-CN-YunxiNeural	chat	0%	0.98	100
デオン	デオン	young_female	zh-CN-XiaoyiNeural	cheerful	+4%	1.02	100
カエサル	カエサル	androgynous	zh-CN-XiaomoNeural	calm	-1%	0.97	100
テスカトリポカ	テスカトリポカ	mature_male	zh-CN-YunzeNeural	calm	-4%	0.94	100
鬼一法眼	鬼一法眼	young_female	zh-CN-XiaohanNeural	gentle	+2%	0.99	100
蒼崎青子	蒼崎青子	mature_female	zh-CN-XiaohanNeural	calm	0%	0.97	100
張角	張角	mature_female	zh-CN-XiaoruiNeural	calm	-2%	0.94	100
ボイジャー	ボイジャー	young_male	zh-CN-YunxiaNeural	cheerful	+3%	1.00	100
カレン	カレン	young_female	zh-CN-XiaoyiNeural	cheerful	+4%	1.02	100
セミラミス	セミラミス	young_male	zh-CN-YunxiaNeural	cheerful	+3%	1.00	100
ジャンヌ・オルタ・サンタ・リリィ	ジャンヌ・オルタ・サンタ・リリィ	mature_male	zh-CN-YunfengNeural	serious	-2%	0.96	100
コロンブス	コロンブス	mature_male	zh-CN-YunfengNeural	serious	-2%	0.96	100
マタ・ハリ	マタ・ハリ	young_male	zh-CN-YunxiNeural	chat	+1%	0.99	100
ラクシュミー	ラクシュミー	young_male	zh-CN-YunxiNeural	chat	+1%	0.99	100
サンチョ	サンチョ	mature_female	zh-CN-XiaoxiaoNeural	gentle	0%	0.96	100
スーパーバニヤン	スーパーバニヤン	mature_male	zh-CN-YunzeNeural	calm	-4%	0.94	100
アルテラサンタ	アルテラサンタ	mature_male	zh-CN-YunjianNeural	serious	-3%	0.95	100
カーミラ	カーミラ	young_male	zh-CN-YunxiaNeural	cheerful	+3%	1.00	100
ドラコー	ドラコー	young_female	zh-CN-XiaomengNeural	chat	+5%	1.03	100
リリス	リリス	mature_male	zh-CN-YunjianNeural	serious	-3%	0.95	100
アシュヴァッターマン	アシュヴァッターマン	mature_male	zh-CN-YunzeNeural	calm	-4%	0.94	100
アヴィケブロン	アヴィケブロン	androgynous	zh-CN-XiaomoNeural	calm	-1%	0.97	100
クー・フーリン・オルタ	クー・フーリン・オルタ	young_female	zh-CN-XiaoyiNeural	cheerful	+4%	1.02	100
ミス・クレーン	ミス・クレーン	young_female	zh-CN-XiaomengNeural	chat	+5%	1.03	100
ヤマトタケル	ヤマトタケル	young_male	zh-CN-YunxiaNeural	cheerful	+3%	1.00	100
エミヤ・オルタ	エミヤ・オルタ	mature_female	zh-CN-XiaohanNeural	calm	0%	0.97	100
ベリル	ベリル	young_male	zh-CN-YunxiNeural	chat	+1%	0.99	100
シバの女王	シバの女王	mature_male	zh-CN-YunfengNeural	serious	-2%	0.96	100
アルテミス	アルテミス	mature_male	zh-CN-YunzeNeural	calm	-4%	0.94	100
ランスロット	ランスロット	mature_male	zh-CN-YunfengNeural	serious	-2%	0.96	100
始皇帝	始皇帝	androgynous	zh-CN-XiaomoNeural	calm	-1%	0.97	100
ラムダ	ラムダ	androgynous	zh-CN-XiaomoNeural	calm	-1%	0.97	100
レディ・アヴァロン	レディ・アヴァロン	young_female	zh-CN-XiaoxiaoNeural	cheerful	+3%	1.00	100
パツシィ	パツシィ	androgynous	zh-CN-YunxiaNeural	calm	+2%	0.99	100
ニコラ・テスラ	ニコラ・テスラ	androgynous	zh-CN-YunxiNeural	chat	0%	0.98	100
徴側	徴側	mature_male	zh-CN-YunjianNeural	serious	-3%	0.95	100
織田信勝	織田信勝	young_male	zh-CN-YunxiaNeural	cheerful	+3%	1.00	100
望月千代女	望月千代女	androgynous	zh-CN-XiaomoNeural	calm	-1%	0.97	100
ビーマ	ビーマ	mature_female	zh-CN-XiaoruiNeural	calm	-2%	0.94	100
アーラシュ	アーラシュ	mature_male	zh-CN-YunfengNeural	serious	-2%	0.96	100
新宿のアーチャー	新宿のアーチャー	young_female	zh-CN-XiaoyiNeural	cheerful	+4%	1.02	100
ノクナレア	ノクナレア	young_male	zh-CN-YunxiNeural	chat	+1%	0.99	100
ディルムッド	ディルムッド	mature_male	zh-CN-YunzeNeural	calm	-4%	0.94	100
アーユス	アーユス	young_female	zh-CN-XiaomengNeural	chat	+5%	1.03	100
ゼノビア	ゼノビア	mature_female	zh-CN-XiaohanNeural	calm	0%	0.97	100
ネモ・マリーン	ネモ・マリーン	young_male	zh-CN-YunxiNeural	chat	+1%	0.99	100
茶々	茶々	mature_male	zh-CN-YunjianNeural	serious	-3%	0.95	100
卑弥呼	卑弥呼	young_male	zh-CN-YunxiaNeural	cheerful	+3%	1.00	100
モルガン	モルガン	androgynous	zh-CN-XiaomoNeural	calm	-1%	0.97	100
ベオウルフ	ベオウルフ	mature_female	zh-CN-XiaoruiNeural	calm	-2%	0.94	100
セタンタ	セタンタ	mature_female	zh-CN-XiaoxiaoNeural	gentle	0%	0.96	100
ワンジナ	ワンジナ	androgynous	zh-CN-XiaomoNeural	calm	-1%	0.97	100
テュフォン・エフェメロス	テュフォン・エフェメロス	young_female	zh-CN-XiaomengNeural	chat	+5%	1.03	100
ロウヒ	ロウヒ	androgynous	zh-CN-XiaomoNeural	calm	-1%	0.97	100
巌窟王	巌窟王	androgynous	zh-CN-YunxiaNeural	calm	+2%	0.99	100
オフェリア	オフェリア	young_female	zh-CN-XiaoyiNeural	cheerful	+4%	1.02	100
バーヴァン・シー	バーヴァン・シー	mature_male	zh-CN-YunzeNeural	calm	-4%	0.94	100
メディア	メディア	androgynous	zh-CN-YunxiNeural	chat	0%	0.98	100
ククルカン	ククルカン	mature_male	zh-CN-YunfengNeural	serious	-2%	0.96	100
マカリオス	マカリオス	young_male	zh-CN-YunxiNeural	chat	+1%	0.99	100
ＢＢドバイ	ＢＢドバイ	mature_male	zh-CN-YunjianNeural	serious	-3%	0.95	100
ティアマト	ティアマト	young_male	zh-CN-YunxiaNeural	cheerful	+3%	1.00	100
メディア・リリィ	メディア・リリィ	mature_female	zh-CN-XiaoruiNeural	calm	-2%	0.94	100
ジャック	ジャック	mature_male	zh-CN-YunfengNeural	serious	-2%	0.96	100
パラケルスス	パラケルスス	young_female	zh-CN-XiaohanNeural	gentle	+2%	0.99	100
フランソワ	フランソワ	young_male	zh-CN-YunxiaNeural	cheerful	+3%	1.00	100
ジュネス	ジュネス	androgynous	zh-CN-XiaomoNeural	calm	-1%	0.97	100
春日局	春日局	young_female	zh-CN-XiaoyiNeural	cheerful	+4%	1.02	100
アンドロメダ	アンドロメダ	young_male	zh-CN-YunxiNeural	chat	+1%	0.99	100
蘭陵王	蘭陵王	androgynous	zh-CN-XiaomoNeural	calm	-1%	0.97	100
武田晴信	武田晴信	young_male	zh-CN-YunxiaNeural	cheerful	+3%	1.00	100
土方歳三	土方歳三	androgynous	zh-CN-YunxiNeural	chat	0%	0.98	100
呪腕のハサン	呪腕のハサン	mature_male	zh-CN-YunjianNeural	serious	-3%	0.95	100
エレシュキガル・オルタ	エレシュキガル・オルタ	mature_female	zh-CN-XiaoxiaoNeural	gentle	0%	0.96	100
ヒッポリュテ	ヒッポリュテ	mature_male	zh-CN-YunzeNeural	calm	-4%	0.94	100
壱与	壱与	mature_male	zh-CN-YunzeNeural	calm	-4%	0.94	100
メフィストフェレス	メフィストフェレス	young_female	zh-CN-XiaomengNeural	chat	+5%	1.03	100
アス	アス	young_female	zh-CN-XiaomengNeural	chat	+5%	1.03	100
インドラ	インドラ	young_male	zh-CN-YunxiNeural	chat	+1%	0.99	100
バゼット	バゼット	mature_female	zh-CN-XiaoruiNeural	calm	-2%	0.94	100
ジキル	ジキル	mature_female	zh-CN-XiaoxiaoNeural	gentle	0%	0.96	100
李書文	李書文	mature_male	zh-CN-YunjianNeural	serious	-3%	0.95	100
千利休	千利休	androgynous	zh-CN-XiaomoNeural	calm	-1%	0.97	100
森長可	森長可	young_male	zh-CN-YunxiaNeural	cheerful	+3%	1.00	100
ジェーン	ジェーン	young_male	zh-CN-YunxiNeural	chat	+1%	0.99	100
エウリュアレ	エウリュアレ	mature_male	zh-CN-YunfengNeural	serious	-2%	0.96	100
パリス	パリス	androgynous	zh-CN-XiaomoNeural	calm	-1%	0.97	100
アマデウス	アマデウス	young_male	zh-CN-YunxiaNeural	cheerful	+3%	1.00	100
ソロモン	ソロモン	androgynous	zh-CN-XiaomoNeural	calm	-1%	0.97	100
デメテル	デメテル	young_female	zh-CN-XiaohanNeural	gentle	+2%	0.99	100
黒姫	黒姫	mature_male	zh-CN-YunjianNeural	serious	-3%	0.95	100
コンスタンティノス	コンスタンティノス	young_male	zh-CN-YunxiaNeural	cheerful	+3%	1.00	100
山南敬助	山南敬助	young_female	zh-CN-XiaoyiNeural	cheerful	+4%	1.02	100
ドン・キホーテ	ドン・キホーテ	young_female	zh-CN-XiaohanNeural	gentle	+2%	0.99	100
蘆屋道満	蘆屋道満	mature_female	zh-CN-XiaoruiNeural	calm	-2%	0.94	100
ガラテア	ガラテア	mature_female	zh-CN-XiaoxiaoNeural	gentle	0%	0.96	100
ラスプーチン	ラスプーチン	androgynous	zh-CN-YunxiNeural	chat	0%	0.98	100
九紋竜エリザ	九紋竜エリザ	mature_female	zh-CN-XiaoruiNeural	calm	-2%	0.94	100
子ギル	子ギル	young_female	zh-CN-XiaomengNeural	chat	+5%	1.03	100
由井正雪	由井正雪	mature_female	zh-CN-XiaohanNeural	calm	0%	0.97	100
河上彦斎	河上彦斎	androgynous	zh-CN-XiaomoNeural	calm	-1%	0.97	100
ヒロインＸＸ	ヒロインＸＸ	androgynous	zh-CN-YunxiNeural	chat	0%	0.98	100
バベッジ	バベッジ	young_female	zh-CN-XiaoyiNeural	cheerful	+4%	1.02	100
リンボ	リンボ	mature_male	zh-CN-YunzeNeural	calm	-4%	0.94	100
渡辺綱	渡辺綱	mature_female	zh-CN-XiaoxiaoNeural	gentle	0%	0.96	100
ロクスタ	ロクスタ	young_female	zh-CN-XiaoyiNeural	cheerful	+4%	1.02	100
サンタマルタ	サンタマルタ	androgynous	zh-CN-YunxiaNeural	calm	+2%	0.99	100
ネモ・プロフェッサー	ネモ・プロフェッサー	mature_female	zh-CN-XiaoxiaoNeural	gentle	0%	0.96	100
杉谷善住坊	杉谷善住坊	mature_male	zh-CN-YunfengNeural	serious	-2%	0.96	100
花咲翁	花咲翁	mature_female	zh-CN-XiaoruiNeural	calm	-2%	0.94	100
永倉新八	永倉新八	mature_male	zh-CN-YunzeNeural	calm	-4%	0.94	100
スルーズ	スルーズ	young_male	zh-CN-YunxiNeural	chat	+1%	0.99	100
弁慶	弁慶	androgynous	zh-CN-XiaomoNeural	calm	-1%	0.97	100
出雲阿国	出雲阿国	young_female	zh-CN-XiaomengNeural	chat	+5%	1.03	100
