jp_name	cn_name_simp	cn_name_trad	count
マルタ	玛尔达	瑪爾大	1083
エルキドゥ	恩奇都	恩奇都	1111
高杉晋作	高杉晋作	高杉晉作	1096
エレナ	海伦娜	海倫娜	1116
テペウ	特佩乌	特佩烏	977
クリームヒルト	克里姆希尔德	克琳希德	1098
伊吹童子	伊吹童子	伊吹童子	1092
ヨハンナ	若安	瓊安	1041
オデュッセウス	奥德修斯	奧德修斯	1083
鈴鹿御前	铃鹿御前	鈴鹿御前	1070
アンデルセン	安徒生	安徒生	1063
長尾景虎	長尾景虎	長尾景虎	1076
Ｘ・オルタ	X·Alter	X．Alter	1073
ガネーシャ	伽内什	迦尼薩	1008
フェルグス	弗格斯	弗格斯	1058
坂本龍馬	坂本龍馬	坂本龍馬	971
Ｓイシュタル	Ｓイシュタル		1039
サンソン	桑松	桑松	1033
ナイチンゲール	南丁格尔	南丁格爾	1037
燕青	燕青	燕青	957
岸波白野	岸波白野	岸波白野	842
フローラ	芙萝拉		954
ニキチッチ	尼基季奇	尼基季奇	991
アマゾネスＣＥＯ			382
ブリュンヒルデ	布伦希尔德	布倫希爾德	1018
殺生院キアラ	瞑生院祈荒	殺生院祈荒	1033
パールヴァティー	帕尔瓦蒂	帕爾瓦蒂	1025
ナーサリー・ライム	童谣	童謠	1004
斎藤一	斎藤一	齋藤一	1008
Ｘ	X	X	1008
メカエリチャン	机械伊丽亲	機械伊莉醬	998
ブラダマンテ	布拉达曼特	布拉達曼特	970
ドゥリーヨダナ	难敌	難敵	903
ジークフリート	齐格飞	齊格飛	978
グレイ	グレイ	格蕾	931
メルトリリス	Meltryllis	Meltryllis	978
クロエ	克洛伊	克洛伊	968
ブーディカ	布狄卡	布狄卡	966
ケイローン	喀戎	凱隆	949
沖田オルタ	冲田Alter	沖田Alter	940
オジマンディアス	奥斯曼狄斯	奧茲曼迪亞斯	922
ビリー	比利	比利	944
クレオパトラ	克娄巴特拉	克麗奧佩脫拉	938
ベディヴィエール	贝德维尔	貝德維爾	934
ドレイク	德雷克	德雷克	925
バーゲスト	巴格斯特	巴格斯特	921
哪吒	哪吒	哪吒	921
シェイクスピア	莎士比亚	莎士比亞	913
アストライア	阿斯特赖亚	阿斯特蕾亞	908
アタランテ・オルタ	阿塔兰忒·Alter	阿塔蘭塔・Alter	905
シャルルマーニュ	查理曼	查理曼	899
Ｕ－オルガマリー	U－奥尔加玛丽	U－奧爾嘉瑪麗	895
ジーク	齐格	齊格	894
ガウェイン	高文	高文	886
タマモキャット	玉藻猫	玉藻貓	883
ヴリトラ	弗栗多	弗栗多	883
ヘクトール	赫克托耳	赫克特	874
ジェロニモ	杰罗尼莫	傑羅尼莫	873
荊軻	匕见	荊軻	870
ビショーネ	比肖内		869
メタトロン・ジャンヌ	梅塔特隆·贞德		864
シトナイ	志度内	志度內	861
ノッブ			860
紅閻魔	红阎魔	紅閻魔	859
楊貴妃	琰女	楊貴妃	855
岡田以蔵	冈田以藏	岡田以藏	849
アルトリア・オルタ	阿尔托莉雅·Alter	阿爾托莉亞．Alter	843
デオン	迪昂	德翁	842
柳生但馬守	柳生但马守	柳生但馬守	840
アルトリア・キャスター	阿尔托莉雅·卡斯特	阿爾托莉亞・Caster	838
鬼一法眼	鬼一法眼	鬼一法眼	833
カエサル	恺撒	凱撒	829
おみぃさん			827
カズラドロップ	Kazuradrop	Kazuradrop	826
ボイジャー	旅行者	航海家	820
ケツァル・コアトル	魁札尔·科亚特尔	魁札爾．科亞特爾	819
ＢＢコスモ	ＢＢ宇宙	ＢＢ宇宙	819
セミラミス	塞弥拉弥斯	塞彌拉彌斯	811
テスカトリポカ	特斯卡特利波卡	特斯卡特利波卡	807
マタ・ハリ	玛塔·哈丽	瑪塔．哈里	804
ラクシュミー	拉克什米	拉克西米	804
ジャンヌ・オルタ・サンタ・リリィ	贞德·Alter·Santa·Lily	貞德．Alter．Santa．Lily	803
張角	张角	張角	797
ジャガーマン	豹人	豹人	793
カレン	卡莲		791
アルテラサンタ	阿蒂拉·Santa	阿蒂拉．the．San〔ta〕	784
サンチョ	桑丘	桑丘	780
スーパーバニヤン	スーパーバニヤン	超級班揚	770
アシュヴァッターマン	马嘶	馬嘶	763
アヴィケブロン	阿维斯布隆	阿維斯布隆	762
カーミラ	卡米拉	卡米拉	756
ミス・クレーン	ミス・クレーン	Ms.克蘭	745
ベリル	贝里尔	貝里爾	738
エミヤ・オルタ	卫宫·Alter	Emiya．Alter	725
リリス	莉莉丝		725
パツシィ	帕茨西	帕茨希	714
レディ・アヴァロン	レディ・アヴァロン	Lady阿瓦隆	710
徴側	征侧	徵側	709
コロンブス	哥伦布	哥倫布	707
クー・フーリン・オルタ	库·丘林·Alter	庫．夫林．Alter	703
ヤマトタケル	ヤマトタケル	日本武尊	703
アーラシュ	阿拉什	阿拉什	701
新宿のアーチャー	新宿的Archer	新宿的Archer	699
織田信勝	織田信勝	織田信勝	697
始皇帝	祖政	始皇帝	695
ノクナレア	诺克娜蕾	諾克娜蕾雅	694
蒼崎青子	苍崎青子	蒼崎青子	690
ディルムッド	迪尔姆德	迪爾姆德	689
ドラコー	ドラコー	德拉科	689
茶々	茶茶	茶茶	685
ゼノビア	芝诺比阿	潔諾比亞	683
ビーマ	怖军	怖軍	683
ベオウルフ	贝奥武夫	貝奧武夫	674
ニコラ・テスラ	尼古拉·特斯拉	尼古拉．特斯拉	669
モルガン	摩根	摩根	669
ラムダ	Lambda	Lambda	654
アルテミス	阿耳忒弥斯	阿耳忒彌斯	652
ランスロット	兰斯洛特	蘭斯洛特	650
アーユス	阿愈丝	阿愈絲	632
マカリオス	马卡里俄斯	馬卡里俄斯	631
メディア	美狄亚	美狄亞	631
セタンタ	瑟坦特	瑟坦特	628
卑弥呼	卑弥呼	卑彌呼	621
メディア・リリィ	美狄亚·Lily	美狄亞．Lily	619
ジャック	杰克	傑克	618
春日局	春日局		618
オフェリア	奥菲莉娅	奧菲莉婭	617
蘭陵王	兰陵王	蘭陵王	609
バーヴァン・シー	芭万·希	芭班．希	602
アンドロメダ	安德洛墨达	安朵美達	599
パラケルスス	帕拉塞尔苏斯	帕拉塞爾斯	598
バゼット	巴泽特	芭潔特	594
呪腕のハサン	咒腕哈桑	咒腕的哈桑	594
武田晴信	武田晴信	武田晴信	594
土方歳三	土方岁三	土方歲三	592
ククルカン	库库尔坎	庫庫爾坎	591
ネモ・マリーン	尼莫水兵	尼莫水兵	590
巌窟王	岩窟王	巖窟王	589
壱与	壱与	臺與	588
ジェーン	简	簡	586
ロウヒ	娄希		584
李書文	李书文	李書文	584
ティアマト	提亚马特	迪亞馬特	582
森長可	森長可	森長可	582
ジキル	杰基尔	傑基爾	580
ジュネス			580
ワンジナ	旺吉娜	旺吉娜	580
エウリュアレ	尤瑞艾莉	尤瑞艾莉	578
ヒッポリュテ	希波吕忒		574
ＢＢドバイ	ＢＢ迪拜	ＢＢ杜拜	572
アマデウス	阿马德乌斯	阿瑪迪斯	570
メフィストフェレス	梅菲斯托费勒斯	梅菲斯托費勒斯	570
アス	阿斯		568
エレシュキガル・オルタ	埃列什基伽勒·Alter	埃列什基伽勒．Alter	568
シバの女王	示巴女王	示巴女王	557
パリス	帕里斯	帕里斯	556
ガラテア	伽拉忒亚	伽拉忒亞	555
コンスタンティノス	君士坦丁	君士坦丁	555
ドン・キホーテ	堂·吉诃德	唐吉訶德	554
蘆屋道満	芦屋道满	蘆屋道滿	551
子ギル	幼吉尔	子吉爾	550
バベッジ	巴贝奇	巴貝奇	546
インドラ			545
九紋竜エリザ	九紋竜エリザ	九紋龍伊莉莎	545
リンボ	Limbo	Limbo	542
テュフォン・エフェメロス	テュフォン・エフェメロス		540
山南敬助	山南敬助	山南敬助	537
フランソワ			536
ラスプーチン	拉斯普京	拉斯普丁	536
千利休	千利休	千利休	536
渡辺綱	渡边纲	渡邊綱	536
デメテル	得墨忒耳	狄蜜特	533
黒姫	黒姫		531
弁慶	弁庆	弁慶	521
ネモ・プロフェッサー	尼莫教授	尼莫教授	520
由井正雪	由井正雪	由井正雪	518
出雲阿国	出雲阿国	出雲阿國	514
永倉新八	永倉新八	永倉新八	514
煉獄	炼狱	煉獄	514
ロクスタ	洛库斯塔	洛庫斯塔	506
ダビデ	大卫	大衛	505
サンタマルタ	圣诞玛尔达	聖誕瑪爾達	504
フラン	弗兰	弗蘭	504
スルーズ	斯露德	斯露德	500
アルジュナ・オルタ	阿周那·Alter	阿周那．Alter	498
ゲオルギウス	乔尔乔斯	聖喬治	497
ダ・ヴィンチちゃん			496
ラニ＝ⅩⅡ	拉妮－ⅩⅡ	拉妮＝ⅩⅡ	490
アン	安妮	安妮	483
ソロモン	ソロモン	所羅門	483
杉谷善住坊	杉谷善住坊	杉谷善住坊	483
メアリー	玛莉	瑪莉	482
イスカンダル	伊斯坎达尔	伊斯坎達爾	477
サンタオルタ	圣诞Alter	聖誕Alter	476
胤舜	胤舜	胤舜	475
花咲翁	花咲翁		474
アタランテ	阿塔兰忒	阿塔蘭塔	473
サロメ	莎乐美	莎樂美	472
静謐のハサン	静谧哈桑	靜謐的哈桑	472
望月千代女	望月千代女	望月千代女	464
河上彦斎	河上彦斎		464
アデーレ	阿黛勒	愛黛兒	459
両儀式	两仪式	兩儀式	451
リチャード			449
ライダー	Rider	Rider	448
ジナコ	吉娜可	吉娜可	445
殺生院リリィ			445
徴弐	征贰	徵貳	441
平景清	平景清	平景清	440
百貌のハサン	百貌哈桑	百貌的哈桑	438
ペンテシレイア	彭忒西勒亚	彭忒西勒亞	436
ヒロインＸＸ	女主角XX	女主角XX	432
神父	神父	神父	432
久遠寺有珠	久远寺有珠	久遠寺有珠	428
新宿のアサシン	新宿的Assassin	新宿的Assassin	428
蘭丸Ｘ	蘭丸Ｘ		428
サンタカルナ	圣诞迦尔纳	聖誕迦爾納	422
ディオスクロイ・カストロ	狄俄斯库里·卡斯托耳	狄奧斯庫洛伊．卡斯托耳	421
大統領			420
ルビー	红宝石	紅寶石	419
槻司鳶丸			414
黄飛虎	黄飛虎	黃飛虎	414
ツタンカーメン	ツタンカーメン	圖坦卡門	410
曲亭馬琴	曲亭馬琴	曲亭馬琴	410
裁判長	审判长		408
アシュタレト	阿斯塔蒂	阿斯塔特	404
スパルタクス	斯巴达克斯	斯巴達克斯	404
ヘファイストス	赫淮斯托斯	赫菲斯托斯	404
アルテラ	阿蒂拉	阿蒂拉	403
アーサー	亚瑟	亞瑟	403
ゴルゴーン	戈耳工	戈爾貢	403
伊東甲子太郎			403
賢人グリム	贤者格里姆	賢者格里姆	403
近藤勇	近藤勇		403
デイビット	戴比特	戴比特	400
メカエリチャンⅡ号機	机械伊丽亲Ⅱ号机	機械伊莉醬Ⅱ號機	397
俵藤太	俵藤太	俵藤太	397
テル	退尔	泰爾	393
秦良玉	忠贞	秦良玉	392
なぎこ			388
オキタ・Ｊ・ソウジ	オキタ・Ｊ・ソウジ	沖田・J・總司	388
ジル	吉尔	吉爾	386
ローラン	罗兰	羅蘭	386
ムリアン	缪瑞恩	姆莉安	385
藤堂平助	藤堂平助		382
エウロペ	欧罗巴	歐羅巴	381
小野小町	小野小町		380
美遊	美遊	美遊	380
Ⅱ号機	Ⅱ号机	Ⅱ號機	377
ハサン	哈桑	哈桑	376
ゼウス	宙斯	宙斯	374
キングプロテア	Kingprotea	Kingprotea	373
テノチティトラン	特诺奇蒂特兰	特諾奇提特蘭	370
アヴェンジャー	Avenger		368
原田左之助	原田左之助		364
お竜さん	お竜さん		362
妖精騎士ランスロット	妖精骑士兰斯洛特	妖精騎士蘭斯洛特	362
マリー・オルタ	玛丽·Alter	瑪莉．Alter	359
ナイチンゲール・サンタ	ナイチンゲール・サンタ	南丁格爾．Santa	358
マリー・アントワネット	玛丽·安托瓦内特	瑪莉．安東尼	355
静希草十郎	静希草十郎	靜希草十郎	355
オルトリンデ	奥特琳德	奧特琳德	352
マナナン	玛娜南	瑪娜南	351
お栄	阿荣	阿榮	350
アレキサンダー	亚历山大	亞歷山大	349
イヴァン雷帝	伊凡雷帝	伊凡雷帝	349
フィン・マックール	芬恩·麦克库尔	芬恩．麥克庫爾	349
キャスター	キャスター	Caster	347
カリギュラ	卡利古拉	卡利古拉	346
レオニダス	列奥尼达	列奧尼達	346
トネリコ	梣	托內莉可	344
巌窟王モンテ・クリスト	岩窟王基督山	巖窟王基督山	342
ドゥムジ	杜木兹	杜木茲	335
アステリオス	阿斯忒里俄斯	阿斯忒里翁	334
バニヤン	班扬	班揚	334
カリオストロ	卡利奥斯特罗	卡廖斯特羅	333
ペペロン伯爵	佩佩隆伯爵	佩佩隆伯爵	331
言峰綺礼	言峰绮礼	言峰綺禮	331
項羽	重瞳	項羽	331
ネモサンタ	尼莫圣诞	尼莫聖誕	328
イスカリ	伊斯卡利	伊斯卡利	326
丑御前	丑御前	丑御前	326
赤兎	丹驹	赤兔馬	325
オベロン・ヴォーティガーン	奥伯龙·伏提庚	奧伯隆．沃帝根	324
ゲルダ	格尔达	格爾達	324
ステンノ	斯忒诺	絲忒諾	324
沖田	冲田	沖田	323
男	男人	男人	320
クロード			317
ヒルド	希露德	希露德	317
謎の代行者C.I.E.L	谜之代行者C.I.E.L	謎之代理人C.I.E.L	317
ＸＸ・オルタ	ＸＸ·Alter	ＸＸ．Alter	317
ハサラ	哈撒拉	哈撒拉	314
アイリーン	艾琳		310
小次郎	小次郎	小次郎	310
ウッドワス	伍德沃斯	伍德沃斯	309
アポロン	阿波罗	阿波羅	308
カマソッソ	卡玛佐茨	卡瑪佐茲	307
お路			305
フェイカー			305
アニング	アニング		303
妖精騎士ガウェイン	妖精骑士高文	妖精騎士高文	301
二人	二人	二人	299
勝海舟			299
紅玉の書			298
テセウス	忒修斯	忒修斯	297
ボガード	博格特	博格特	297
アイリスフィール	爱丽丝菲尔	愛麗絲菲爾	296
プロフェッサーＭ			296
フィン	芬恩	芬恩	294
ときこ			292
モレーちゃん			291
セレシェイラ	塞蕾雪拉	塞蕾雪拉	289
ネロ・ブライド	尼禄·新娘	尼祿．Bride	288
蛇竜人			288
桂木千鍵	桂木千鍵		281
キングプロテア・オルタ	Kingprotea Alter	Kingprotea Alter	279
ドゥルガー	杜尔伽	杜爾迦	279
マリスビリー	マリスビリー	馬利斯比利	279
藤原香子	藤原香子	藤原香子	279
芹沢鴨	芹泽鸭	芹澤鴨	277
サクラ	樱	櫻	276
土方	土方	土方	276
アナ	安娜	安娜	275
オーロラ	欧若拉	奧蘿拉	272
石田三成			272
ディオスクロイ・ポルクス	狄俄斯库里·波鲁克斯	狄奧斯庫洛伊．波魯克斯	270
隈乃院ヨシスケ			269
龍馬			269
シエル	希耶尔	希耶爾	266
シラノ			266
蛍			263
エジソン・オルタ	爱迪生·Alter	愛迪生．Alter	261
松永弾正			261
飛竜	飞龙	飛龍	261
家老マシュ			258
魔王信長	魔王信長	魔王信長	258
カーター	卡特	卡特	257
スプリガン	斯普里根	斯普利根	256
キリエ	基列	基利艾	253
ジョン	约翰		253
ザッハーク			252
アショカ王	阿育王		250
クリストファー君			250
ファントム	魅影	魅影	250
藤乃			250
水着ノッブ	水着ノッブ		249
織田吉法師	織田吉法師		242
ラヴィニア	拉维尼娅	拉維尼婭	239
マキリ	玛奇里	馬奇里	237
節分大将			237
ヤラアーンドゥ			235
全員	全体	全員	235
アナウンス	广播语音	廣播語音	234
デュマ			234
信長			234
館長			234
セイバー	Saber	Saber	233
陳宮	陈宫	陳宮	233
ホプキンス	霍普金斯	霍普金斯	232
おぬい	阿缝	阿縫	230
バーサーカー・衆合地獄	Berserker 众合地狱	Berserker．眾合地獄	229
ヘファイスティオン	ヘファイスティオン	赫費斯提翁	229
イプシロン	イプシロン		228
ブリトマート	ブリトマート	布里托瑪特	227
フレッカス			225
ジュリエット			221
ＤＯＭＡＮ			218
終わりのエリザベート	終わりのエリザベート		216
メリュジーヌ	メリュジーヌ	美露莘	215
妖精騎士トリスタン	妖精骑士崔斯坦	妖精騎士崔斯坦	215
恐竜王	恐龙王	恐龍王	214
髭黒			213
ライノール	莱诺尔	雷諾爾	212
レフ	雷夫	雷夫	211
マリス	マリス		210
アンソニー	安东尼	安東尼	208
ジル・ド・レェ	吉尔·德·雷	吉爾．德．萊斯	208
ニトクリス・オルタ	尼托克丽丝·Alter	尼托克里絲．Alter	208
アグラヴェイン	阿格规文	亞格拉賓	206
トラロック	特拉洛克	特拉洛克	205
上杉謙信	上杉謙信	上杉謙信	199
クラス・セイバー	职阶·剑士	職階．Saber	196
レッドラ・ビット	瑞德拉·比特	瑞德拉．比特	195
以蔵			193
黄幡神・蘆屋道満	黄幡神·芦屋道满	黃幡神．蘆屋道滿	193
神たるアルジュナ	身为神的阿周那	身為神的阿周那	192
足軽ノッブ			192
邪竜			192
クラス・アサシン	职阶·暗匿者	職階．Assassin	191
芥ヒナコ	芥雏子	芥雛子	191
ブラヴァツキー	布拉瓦茨基	布拉瓦茨基	190
乙姫清姫			190
イシュキック	希基克	希基克	188
キングゥ	金固	金固	188
声	声音	聲音	188
服部武雄			187
アーシャ	爱夏	愛夏	185
エフェメロス			184
リンド	リンド		184
日比乃ひびき	日比乃ひびき		184
クラス・ライダー	职阶·骑兵	職階．Rider	181
コスモティック・ビューティ夫人			181
ファンタズムーン	Phantasmoon		181
ロムルス	罗穆路斯	羅慕路斯	181
獅子王	狮子王	獅子王	181
駒姫	駒姫		181
暗黒武者ＭＵＮＥＮＯＲＩ			180
サバージオス			179
ネモ・エンジン	尼莫引擎	尼莫輪機長	178
わらし			177
キャスター・リンボ	Caster Limbo	Caster．Limbo	177
アズライール	アズライール		176
太歳星君	太岁星君	太歲星君	175
海幸彦	海幸彦		175
クコチヒコ			174
ふーやーちゃん			171
アルトリア・ルーラー	阿尔托莉雅·裁定者	阿爾托莉亞．Ruler	171
メフィスト			171
黒の剣士			171
吉田総帥			170
マシュ《ナレーター》	玛修《旁白》	瑪修《旁白》	169
ミカ			169
水妃モルガン			168
ライダー・黒縄地獄	Rider 黑绳地狱	Rider．黑繩地獄	167
伍			167
武市瑞山	武市瑞山		167
アフロディーテ	阿佛洛狄忒	阿芙蘿黛蒂	164
偽ゲオルギウス			164
木乃美芳助			164
アトランティス防衛兵	亚特兰蒂斯防卫兵	亞特蘭提斯防衛兵	163
ロムルス・クィリヌス	罗穆路斯·奎里努斯	羅慕路斯=奎里努斯	163
エルロン	艾尔隆	艾爾隆	162
キレーちゃん			162
ノア	ノア		162
フランチェスカ			162
ロマニ・アーキマン	罗玛尼·阿其曼	羅馬尼．阿基曼	160
少女	少女	少女	160
キャプテン	船长	船長	158
ランサー	Lancer	Lancer	158
天塚先輩	天塚前辈	天塚前輩	158
海賊	海盗	海盜	158
ヤガ叛逆軍	雅嘎反叛军	雅嘎反叛軍	157
ユニヴァース・アポロン			157
アサシン・パライソ	Assassin Paraiso	Assassin．Paraiso	156
アーキタイプ：アース	Archetype：Earth	Archetype：Earth	156
ミス・ブーツライン			156
名無しの亀			154
ウルズ	乌尔德		153
少年	少年	少年	153
ＢＢリリィ			153
ムネーモシュネー	谟涅摩叙涅		152
ローマ			152
源為朝	源为朝	源為朝	152
アーチャー	Archer	Archer	151
レオン			150
姫子	姬子	姬子	150
松平信綱	松平信纲		150
ゲーティア	盖提亚	蓋堤亞	148
阿曇磯良	阿曇磯良		148
神官ヴクブ	神官乌库伯	神官烏庫伯	147
魔術師	魔术师	魔術師	147
エリス			145
アムール	アムール	埃莫	144
アッド	亚德		141
アンキ・エレシュキガル	安基埃列什基伽勒	安祺埃列什基伽勒	141
イシュタル実況			141
フラット	弗拉特		141
黒獅子			140
アントニオ			139
雑賀孫一	雑賀孫一	雜賀孫一	137
ＡＡＡ	ＡＡＡ		137
地右衛門			136
教授	教授		136
杉谷			135
祭祀長シドゥリ	祭祀长西杜丽	祭祀長西杜麗	135
ネモ・ナース	尼莫护士	尼莫護士	134
ホーソーン			133
エリザベート（ブレイブ）	伊丽莎白（勇者）	伊莉莎白（Brave）	132
ケツァルマスク			132
アンリマユ	安哥拉曼纽	安格拉曼紐	131
カリオストロ・ヘッド	卡利奥斯特罗之首	卡廖斯特羅之首	131
プロメテウス＝ヘファイストス	普罗米修斯·赫淮斯托斯	普羅米修斯＝赫菲斯托斯	131
清子	清子	清子	131
秋葉ねろ			131
村人	村民	村民	130
藤原道長	藤原道长	藤原道長	129
エドモン・ダンテス	爱德蒙·唐泰斯	愛德蒙．唐泰斯	127
ゴージャスＰ			127
兵士	士兵	士兵	127
老人	老人	老人	127
語り部のキャスター			127
造形王			127
高長恭	高长恭	高長恭	127
セイバーオルタ	Saber Alter	Saber Alter	126
ワクチャン	瓦克昌	瓦克昌	126
リカルド	卡尔多	卡爾多	124
謎のレーサーＸ			124
シーボルト			123
ナウクラテー	瑙克拉忒		123
マイケル			123
グランマリー	グランマリー		122
スペース徐福	太空方巿	太空徐福	121
護法少女			121
猪八戒	猪八戒	豬八戒	120
歳刑神・平景清	岁刑神·平景清	歲刑神．平景清	118
空中の文字	空中的文字	空中的文字	118
ジャンヌ・ダルク	贞德	貞德	117
スペース・オデュッセウス	太空奥德修斯	太空奧德修斯	117
ロブ	罗布	羅布	117
山の翁	“山中老人”	“山之翁”	117
長老			117
アーチャー・インフェルノ	Archer Inferno	Archer．Inferno	116
信勝			116
サン			115
デメテル・エリニュス	得墨忒耳·厄里倪厄斯		115
ブラック・ケツァルマスク			115
叔母	阿姨	阿姨	115
神王ラックランド	神王拉克兰		115
騎士	骑士	騎士	115
千代女	千代女	千代女	114
大黒天	大黑天	大黑天	114
解明者	解明者		114
執筆中の作家			113
妖精たち	妖精们	妖精們	113
トトロット	特特洛特	特特洛特	112
ダユー	达尤	達尤	111
果心居士	果心居士	果心居士	111
スマホさん			110
エルン	エルン		109
エレノア			109
一同		全員	109
サンタアイランド仮面	圣诞岛假面	聖誕島假面	108
ランサー・プルガトリオ	Lancer Purgatorio	Lancer．Purgatorio	108
灰纏い			108
韓信	韩信	韓信	108
アーノルド			107
ソニックマッハ・ジェッター			107
サファイア			106
カーリー	迦梨	迦梨	105
今川義元			105
明智光秀	明智光秀		105
羅刹王・髑髏烏帽子蘆屋道満	罗刹王·骷髅乌帽子芦屋道满	羅剎王．骷髏烏帽子蘆屋道滿	105
ラニ＝Ｒ	拉妮－Ｒ	拉妮＝Ｒ	104
アラン			103
イルス	イルス		103
カルデアスタッフ	迦勒底工作人员	迦勒底工作人員	103
判事	法官	法官	103
鬼王朱裸			103
小野篁	小野篁		102
店主の妖精	店主妖精	店主妖精	101
チビーネ			100
北の軍神			100
皇女	皇女	皇女	100
両儀さん			99
伯爵	伯爵	伯爵	99
記録者			99
アオイ			98
クラス・キャスター	职阶·魔术师	職階．Caster	98
ケツァル・コアトル・サンバ・サンタ	魁札尔·科亚特尔·桑巴·圣诞		98
妖術師	妖术师	妖術師	98
テオブローマン			97
リリィ			97
ロクジョウ			97
コーラル	科拉尔	柯拉爾	96
佐々木小次郎	佐佐木小次郎	佐佐木小次郎	96
沙悟浄	沙悟净	沙悟淨	96
蛇女房	蛇女房		96
ウルク兵士	乌鲁克士兵	烏魯克士兵	95
