profile_id	provider	locale	voice_name	style	pitch	rate	volume	description
auto_a45c9e3584_cn	azure	zh-CN	zh-CN-YunyeNeural	disgruntled	-8%	0.92	100	Auto male_gruff Chinese profile for 卡利古拉
auto_426863fe7e_jp	azure	ja-JP	ja-JP-DaichiNeural		-5%	0.95	100	Auto male_gruff Japanese profile for ダレイオス三世
auto_426863fe7e_cn	azure	zh-CN	zh-CN-YunyeNeural	disgruntled	-6%	0.94	100	Auto male_gruff Chinese profile for 大流士三世
auto_f71ff7676f_jp	azure	ja-JP	ja-JP-NanamiNeural		-5%	0.94	100	Auto female_shadow Japanese profile for 清姫
auto_f71ff7676f_cn	azure	zh-CN	zh-CN-XiaoxiaoNeural	serious	-7%	0.92	100	Auto female_shadow Chinese profile for 清姬
auto_5e84119e66_jp	azure	ja-JP	ja-JP-DaichiNeural		-10%	0.97	100	Auto male_gruff Japanese profile for エイリーク・ブラッドアクス
auto_5e84119e66_cn	azure	zh-CN	zh-CN-YunyeNeural	disgruntled	-5%	0.97	100	Auto male_gruff Chinese profile for 血斧埃里克
auto_c6ca40504d_jp	azure	ja-JP	ja-JP-NanamiNeural		-5%	0.90	100	Auto female_shadow Japanese profile for タマモキャット
auto_c6ca40504d_cn	azure	zh-CN	zh-CN-XiaoxiaoNeural	serious	-4%	0.91	100	Auto female_shadow Chinese profile for 玉藻猫
auto_17ca3e3e5c_jp	azure	ja-JP	ja-JP-AoiNeural		+3%	0.99	100	Auto female_noble Japanese profile for ジャンヌ・ダルク
auto_17ca3e3e5c_cn	azure	zh-CN	zh-CN-XiaoxiaoNeural	serious	-2%	0.99	100	Auto female_noble Chinese profile for 贞德
auto_354f261f81_jp	azure	ja-JP	ja-JP-DaichiNeural		-1%	1.00	100	Auto male_heroic Japanese profile for オリオン
auto_354f261f81_cn	azure	zh-CN	zh-CN-YunyeNeural	serious	-3%	1.01	100	Auto male_heroic Chinese profile for 俄里翁
auto_5b142684fa_jp	azure	ja-JP	ja-JP-NanamiNeural		-4%	0.94	100	Auto female_mystic Japanese profile for 玉藻の前
auto_5b142684fa_cn	azure	zh-CN	zh-CN-XiaoxiaoNeural	calm	-4%	0.91	100	Auto female_mystic Chinese profile for 玉藻前
auto_ad75ea283d_jp	azure	ja-JP	ja-JP-DaichiNeural		-5%	0.98	100	Auto male_gruff Japanese profile for ダビデ
auto_ad75ea283d_cn	azure	zh-CN	zh-CN-YunyeNeural	disgruntled	-5%	0.93	100	Auto male_gruff Chinese profile for 大卫
auto_f82814b359_jp	azure	ja-JP	ja-JP-DaichiNeural		-7%	0.98	100	Auto male_heroic Japanese profile for ヘクトール
auto_f82814b359_cn	azure	zh-CN	zh-CN-YunyeNeural	serious	-5%	0.98	100	Auto male_heroic Chinese profile for 赫克托耳
auto_5375882cfe_jp	azure	ja-JP	ja-JP-AoiNeural		-2%	0.98	100	Auto female_noble Japanese profile for フランシス・ドレイク
auto_5375882cfe_cn	azure	zh-CN	zh-CN-XiaoxiaoNeural	serious	+3%	0.99	100	Auto female_noble Chinese profile for 弗朗西斯·德雷克
auto_876eaa6f90_jp	azure	ja-JP	ja-JP-NanamiNeural		-4%	0.99	100	Auto female_cool Japanese profile for アン・ボニー
auto_876eaa6f90_cn	azure	zh-CN	zh-CN-XiaoxiaoNeural	calm	+1%	0.96	100	Auto female_cool Chinese profile for 安妮·伯妮
auto_cdc3cb53f4_jp	azure	ja-JP	ja-JP-NanamiNeural		-4%	0.91	100	Auto female_mystic Japanese profile for メアリー・リード
auto_cdc3cb53f4_cn	azure	zh-CN	zh-CN-XiaoxiaoNeural	calm	0%	0.94	100	Auto female_mystic Chinese profile for 玛莉·瑞德
auto_9431b0ac85_jp	azure	ja-JP	ja-JP-AoiNeural		+1%	0.96	100	Auto female_noble Japanese profile for 沖田総司
auto_9431b0ac85_cn	azure	zh-CN	zh-CN-XiaoxiaoNeural	serious	-2%	1.00	100	Auto female_noble Chinese profile for 冲田总司
auto_6eaf66c3d7_jp	azure	ja-JP	ja-JP-NanamiNeural		-4%	0.94	100	Auto female_cool Japanese profile for 織田信長
auto_6eaf66c3d7_cn	azure	zh-CN	zh-CN-XiaoxiaoNeural	calm	-4%	0.97	100	Auto female_cool Chinese profile for 织田信长
auto_b5fac8e8e9_jp	azure	ja-JP	ja-JP-AoiNeural		0%	0.99	100	Auto female_noble Japanese profile for スカサハ
auto_b5fac8e8e9_cn	azure	zh-CN	zh-CN-XiaoxiaoNeural	serious	+1%	0.97	100	Auto female_noble Chinese profile for 斯卡哈
auto_46b8c67c23_jp	azure	ja-JP	ja-JP-DaichiNeural		-6%	0.99	100	Auto male_heroic Japanese profile for ディルムッド・オディナ
auto_46b8c67c23_cn	azure	zh-CN	zh-CN-YunyeNeural	serious	-2%	0.97	100	Auto male_heroic Chinese profile for 迪尔姆德·奥迪那
auto_381f71a888_jp	azure	ja-JP	ja-JP-DaichiNeural		-1%	1.02	100	Auto male_heroic Japanese profile for フェルグス・マック・ロイ
auto_381f71a888_cn	azure	zh-CN	zh-CN-YunyeNeural	serious	-1%	0.99	100	Auto male_heroic Chinese profile for 弗格斯·马克·罗伊
auto_263df3d6e4_jp	azure	ja-JP	ja-JP-NanamiNeural	chat	+6%	1.02	100	Auto child_light Japanese profile for ナーサリー・ライム
auto_263df3d6e4_cn	azure	zh-CN	zh-CN-XiaoyiNeural	cheerful	+7%	1.05	100	Auto child_light Chinese profile for 童谣
auto_4631072fda_jp	azure	ja-JP	ja-JP-NanamiNeural	chat	+9%	1.06	100	Auto child_light Japanese profile for ジャック・ザ・リッパー
auto_4631072fda_cn	azure	zh-CN	zh-CN-XiaoyiNeural	cheerful	+3%	1.07	100	Auto child_light Chinese profile for 开膛手杰克
auto_dde6946db3_jp	azure	ja-JP	ja-JP-AoiNeural		+3%	0.95	100	Auto female_noble Japanese profile for モードレッド
auto_dde6946db3_cn	azure	zh-CN	zh-CN-XiaoxiaoNeural	serious	+3%	1.00	100	Auto female_noble Chinese profile for 莫德雷德
auto_979898ea0c_jp	azure	ja-JP	ja-JP-NaokiNeural		-3%	1.02	100	Auto male_bright Japanese profile for ニコラ・テスラ
auto_979898ea0c_cn	azure	zh-CN	zh-CN-YunxiNeural	cheerful	+1%	1.02	100	Auto male_bright Chinese profile for 尼古拉·特斯拉
auto_10d06de46f_jp	azure	ja-JP	ja-JP-NaokiNeural		-3%	0.94	100	Auto male_calm Japanese profile for ヴァン・ホーエンハイム・パラケルスス
auto_10d06de46f_cn	azure	zh-CN	zh-CN-YunxiNeural	serious	-4%	0.94	100	Auto male_calm Chinese profile for 冯·霍恩海姆·帕拉塞尔苏斯
auto_54e9cf6669_jp	azure	ja-JP	ja-JP-NaokiNeural		-2%	0.92	100	Auto male_calm Japanese profile for チャールズ・バベッジ
auto_54e9cf6669_cn	azure	zh-CN	zh-CN-YunxiNeural	serious	0%	0.92	100	Auto male_calm Chinese profile for 查尔斯·巴贝奇
auto_6ab7e44767_jp	azure	ja-JP	ja-JP-NanamiNeural		-4%	0.90	100	Auto female_mystic Japanese profile for ヘンリー・ジキル
auto_6ab7e44767_cn	azure	zh-CN	zh-CN-XiaoxiaoNeural	calm	-1%	0.95	100	Auto female_mystic Chinese profile for 亨利·杰基尔
auto_117ea43135_jp	azure	ja-JP	ja-JP-NanamiNeural		-2%	0.94	100	Auto female_shadow Japanese profile for ハイド
auto_117ea43135_cn	azure	zh-CN	zh-CN-XiaoxiaoNeural	serious	-6%	0.97	100	Auto female_shadow Chinese profile for 海德
auto_63ef930958_jp	azure	ja-JP	ja-JP-NanamiNeural		-5%	0.96	100	Auto female_shadow Japanese profile for フランケンシュタイン
auto_63ef930958_cn	azure	zh-CN	zh-CN-XiaoxiaoNeural	serious	-3%	0.93	100	Auto female_shadow Chinese profile for 弗兰肯斯坦
auto_c82de0c8b2_jp	azure	ja-JP	ja-JP-NaokiNeural		-3%	0.91	100	Auto male_calm Japanese profile for ソロモン
auto_c82de0c8b2_cn	azure	zh-CN	zh-CN-YunxiNeural	serious	-1%	0.92	100	Auto male_calm Chinese profile for 所罗门
auto_0453177242_jp	azure	ja-JP	ja-JP-NaokiNeural		-3%	0.94	100	Auto male_calm Japanese profile for アルジュナ
auto_0453177242_cn	azure	zh-CN	zh-CN-YunxiNeural	serious	0%	0.91	100	Auto male_calm Chinese profile for 阿周那
auto_7c54e212fe_jp	azure	ja-JP	ja-JP-DaichiNeural		-2%	1.01	100	Auto male_heroic Japanese profile for カルナ
auto_7c54e212fe_cn	azure	zh-CN	zh-CN-YunyeNeural	serious	-3%	0.99	100	Auto male_heroic Chinese profile for 迦尔纳
auto_a375274857_jp	azure	ja-JP	ja-JP-DaichiNeural		-2%	1.02	100	Auto male_heroic Japanese profile for サンタカルナ
auto_a375274857_cn	azure	zh-CN	zh-CN-YunyeNeural	serious	-1%	0.99	100	Auto male_heroic Chinese profile for 圣诞迦尔纳
auto_3b1be70cc1_jp	azure	ja-JP	ja-JP-NanamiNeural		-4%	0.93	100	Auto female_mystic Japanese profile for 謎のヒロインX
auto_3b1be70cc1_cn	azure	zh-CN	zh-CN-XiaoxiaoNeural	calm	0%	0.94	100	Auto female_mystic Chinese profile for 谜之女主角X
auto_15bbcb1965_jp	azure	ja-JP	ja-JP-DaichiNeural		-4%	1.03	100	Auto male_heroic Japanese profile for フィン・マックール
auto_15bbcb1965_cn	azure	zh-CN	zh-CN-YunyeNeural	serious	-2%	1.00	100	Auto male_heroic Chinese profile for 芬恩·麦克库尔
auto_b376e0b095_jp	azure	ja-JP	ja-JP-AoiNeural		-2%	0.95	100	Auto female_noble Japanese profile for ブリュンヒルデ
auto_b376e0b095_cn	azure	zh-CN	zh-CN-XiaoxiaoNeural	serious	-2%	0.94	100	Auto female_noble Chinese profile for 布伦希尔德
auto_4ef167e6ba_jp	azure	ja-JP	ja-JP-DaichiNeural		-10%	0.96	100	Auto male_gruff Japanese profile for ベオウルフ
auto_4ef167e6ba_cn	azure	zh-CN	zh-CN-YunyeNeural	disgruntled	-9%	0.94	100	Auto male_gruff Chinese profile for 贝奥武夫
auto_aca62d163b_jp	azure	ja-JP	ja-JP-AoiNeural		0%	0.95	100	Auto female_noble Japanese profile for 両儀式
auto_aca62d163b_cn	azure	zh-CN	zh-CN-XiaoxiaoNeural	serious	-2%	0.99	100	Auto female_noble Chinese profile for 两仪式
amakusa_shirou_young_male	azure	ja-JP	ja-JP-NaokiNeural		+1%	0.97	100	Manual Japanese profile for 天草四郎
amakusa_shirou_cn_young_male	azure	zh-CN	zh-CN-YunxiNeural	serious	+1%	0.97	100	Manual Chinese profile for 天草四郎
auto_3b260bbb73_jp	azure	ja-JP	ja-JP-NaokiNeural		+1%	1.06	100	Auto male_bright Japanese profile for アストルフォ
auto_3b260bbb73_cn	azure	zh-CN	zh-CN-YunxiNeural	cheerful	+2%	1.04	100	Auto male_bright Chinese profile for 阿斯托尔福
auto_92c1b3a20b_jp	azure	ja-JP	ja-JP-NaokiNeural		-1%	1.05	100	Auto male_bright Japanese profile for 子ギル
auto_92c1b3a20b_cn	azure	zh-CN	zh-CN-YunxiNeural	cheerful	+2%	1.04	100	Auto male_bright Chinese profile for 幼吉尔
auto_10be688b81_jp	azure	ja-JP	ja-JP-DaichiNeural		-10%	0.97	100	Auto male_gruff Japanese profile for 巌窟王
auto_10be688b81_cn	azure	zh-CN	zh-CN-YunyeNeural	disgruntled	-7%	0.92	100	Auto male_gruff Chinese profile for 岩窟王
auto_122e5e30f1_jp	azure	ja-JP	ja-JP-NanamiNeural		-2%	0.96	100	Auto female_shadow Japanese profile for ナイチンゲール
auto_122e5e30f1_cn	azure	zh-CN	zh-CN-XiaoxiaoNeural	serious	-1%	0.96	100	Auto female_shadow Chinese profile for 南丁格尔
